Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
若敌人处于,若敵人處於,If The Enemy Is In,敵がいる場合,적이 있을 경우
如果敌人死亡,如果敵人死亡,If The Enemy Dies,敵が死んだ場合,적이 죽으면
如果生命大于50%,如果生命大於50%,If HP Is Greater Than 50%,HPが50%を超えている場合,HP가 50% 이상일 경우
流血,流血,Bleed,出血,출혈
禁锢,禁錮,Imprisoned,投獄,투옥
迟缓,遲緩,Slow,遅い,느린
破甲,破甲,Break Armor,鎧破,브레이크 아머
虚弱,虛弱,Weak,弱い,약한
生锈,生鏽,Rust,さび,녹
破盾,破盾,Broken Shield,壊れた盾,깨진 방패
疲劳,疲勞,Fatigue,疲勞,피로
衰老,老化,Senescence,老化,노화
触发,觸發,Trigger,トリガー,발동
燃烧,燃燒,Burn,燃焼,연소
咒术,咒術,Curse,呪い,저주
自愈,自愈,Self-Heal,自己回復,자가 치유
急救,急救,First Aid,応急の手当,구급
极速,極速,Topspeed,極速,신속
溅射,濺射,Splash,スプラッシュ,튀다
预备,預備,Prepared,預備,준비
离间,離間,Blood Sucking,吸血,흡혈
受到致命伤害时，保留1点生命值,受到致命傷害時，保留1點生命值,"When Receiving Fatal DMG, Retain 1 HP",致命的ダメージを受けた時、HPを1維持,사망 시 HP 1 유지
强制攻击某个对象,強制攻擊某個對象,Forcibly ATK an Object,オブジェクトを強制的に攻撃する,물체를 강제로 공격
再次发动技能,再次發動技能,Activate The Skill Again,再度スキルを発動する,다시 스킬 발동
生命最低,生命最低,Min HP,最小HP,최소 HP
攻击最高,攻擊最高,ATK Highest,最高の攻撃力,가장 높은 공격
不包含自己,不包含自己,Not Contain Itself,自分を含まない,자신을 포함하지 않음
伤害吸收,傷害吸收,DMG Absorption,ダメージ吸収,피해 흡수
并且,並且,And,そして,과
但是,但是,But,しかし,하지만
否则,否則,Else,そのほこの,그밖에
免疫,免疫,Immune,免疫,면역
增益,增益,Buff,Buff,Buff
减益,減益,DeBuff,DeBuff,DeBuff
专注,專注,Concentration,集中,집중
缴械,繳械,Disarm,武装解除,무장 해제
沉默,沉默,Silence,沈黙,침묵
眩晕,眩暈,Stun,気絶,기절
混乱,混亂,Chaos,混乱,혼란
禁疗,禁療,Heal Ban,回復不能,치유 금지
点燃,點燃,Ignite,発火,점화
中毒,中毒,Poisoning,中毒,독이 든
嘲讽,嘲諷,Taunts,挑発,도발
净化,淨化,Purification,浄化,정화하다
驱散,驅散,Dispersion,払い散らす,제거하다
连击,連擊,Combo,コンボ,콤보
闪避,閃避,Dodge,回避,회피
叠加,疊加,Stacks,重複,중첩
生命,HP,HP,生命値,HP
攻击,攻擊,ATK,攻撃,공격
防御,防禦,DEF,防御,방어
破坏,破壞,DES,破壊,파괴
出手速度,出手速度,ATK Spd,攻撃速度,공격 속도
援护,援護,Assist,援護,지원
强袭,強襲,Assault,強襲,강습
永恒,永恆,Eternal,永遠,영구
超导,超導,Superconducting,超導,초전도
瞬法,瞬法,Instant,瞬発,즉시
回合,回合,Rounds,ターン,회합
每回合,每回合,Each Round,毎ターン,매 회합
有几率,有幾率,A Chance to,チャンスはある,기회
效果触发概率,效果觸發機率,Effect Trigger Probability,効果発動確率,효과 발동 확률
技能触发概率,技能觸發機率,Skill Trigger Probability,スキル発動確率,스킬 발동 확률
在第1回合,在第1回合,In The 1st Round,第1回合に,1회차에
在第2回合,在第2回合,In The 2nd Round,第2回合に,2회차에
在第3回合,在第3回合,In The 3rd Round,第3回合に,3회차에
在第4回合,在第4回合,In The 4th Round,第4回合に,4회차에
在第5回合,在第5回合,In The 5th Round,第5回合に,5회차에
在第6回合,在第6回合,In The 6th Round,第6回合に,6회차에
在第7回合,在第7回合,In The 7th Round,第7回合に,7회차에
在第8回合,在第8回合,In The 8th Round,第8回合に,8회차에
在前2回合,在前2回合,In The First 2 Rounds,最初の2回のターンに,처음 2회차 동안
在前3回合,在前3回合,In The First 3 Rounds,最初の3回のターンに,처음 3회차 동안
在前4回合,在前4回合,In The First 4 Rounds,最初の4回のターンに,처음 4회차 동안
在前5回合,在前5回合,In The First 5 Rounds,最初の5回のターンに,처음 5회차 동안
在前6回合,在前6回合,In The First 6 Rounds,最初の6回のターンに,처음 6회차 동안
在前7回合,在前7回合,In The First 7 Rounds,最初の7回のターンに,처음 7회차 동안
在前8回合,在前8回合,In The First 8 Rounds,最初の8回のターンに,처음 8회차 동안
从第1回合起,從第1回合起,From The 1st Round,第1回合から,1회차부터
从第2回合起,從第2回合起,From The 2nd Round,第2回合から,2회차부터
从第3回合起,從第3回合起,From The 3rd Round,第3回合から,3회차부터
从第4回合起,從第4回合起,From The 4th Round,第4回合から,4회차부터
从第5回合起,從第5回合起,From The 5th Round,第5回合から,5회차부터
从第6回合起,從第6回合起,From The 6th Round,第6回合から,6회차부터
从第7回合起,從第7回合起,From The 7th Round,第7回合から,7회차부터
从第8回合起,從第8回合起,From The 8th Round,第8回合から,8회차부터
目标,目標,Target,目標,대상
并且使目标敌人,並且使目標敵人,And Make The Target Enemy,そして目標を敵に,그리고 대상 적에게
对1个敌方部队,對1個敵方部隊,To 1 Enemy Troop,1つの敵部隊に,적군 1개 부대에
对2个敌方部队,對2個敵方部隊,To 2 Enemy Troops,2つの敵部隊に,적군 2개 부대에
对3个敌方部队,對3個敵方部隊,To 3 Enemy Troops,3つの敵部隊に,적군 3개 부대에
对1个敌方部队发动攻击,對1個敵方部隊發動攻擊,ATK 1 Enemy Troop,1つの敵部隊に攻撃を行う,적군 1개 부대에 공격을 가하다
对2个敌方部队发动攻击,對2個敵方部隊發動攻擊,ATK 2 Enemy Troops,2つの敵部隊に攻撃を行う,적군 2개 부대에 공격을 가하다
对3个敌方部队发动攻击,對3個敵方部隊發動攻擊,ATK 3 Enemy Troops,3つの敵部隊に攻撃を行う,적군 3개 부대에 공격을 가하다
使双方所有部队,使雙方所有部隊,Make All Troops Of Both Sides,両軍の全部隊に対して,양측 모든 부대에게
使1个敌方部队,使1個敵方部隊,Make 1 Of Enemy Troop,1つの敵部隊を,적군 1개 부대를
使2个敌方部队,使2個敵方部隊,Make 2 Of Enemy Troops,2つの敵部隊を,적군 2개 부대를
使3个敌方部队,使3個敵方部隊,Make 3 Of Enemy Troops,3つの敵部隊を,적군 3개 부대를
自身部队,自身部隊,Own Troop,自身の部隊,자신의 부대
使1个我方部队,使1個我方部隊,Make 1 Of our Troop,1つの味方部隊を,아군 1개 부대를
使2个我方部队,使2個我方部隊,Make 2 Of our Troops,2つの味方部隊を,아군 2개 부대를
使3个我方部队,使3個我方部隊,Make 3 Of our Troops,3つの味方部隊を,아군 3개 부대를
受攻击属性影响,受攻擊屬性影響,Affected By ATK Attribute,攻撃属性の影響を受ける,공격 속성 영향을 받음
受防御属性影响,受防禦屬性影響,Affected By DEF Attribute,防御属性の影響を受ける,방어 속성 영향을 받음
受破坏属性影响,受破壞屬性影響,Affected By DES Attribute,破壊属性の影响を受ける,파괴 속성 영향을 받음
受速度属性影响,受速度屬性影響,Affected By Spd Attribute,速度属性の影響を受ける,속도 속성 영향을 받음
不受属性影响,不受屬性影響,Not Affected By Attribute,属性の影響を受けない,속성 제한 없음
士兵生命属性提高,士兵生命屬性提高,Soldier HP Increased,兵士の健康属性UP,병사 생활속성 증가
攻击属性提高,攻擊屬性提高,ATK Attribute Increased,攻撃属性UP,공격 속성 증가
防御属性提高,防禦屬性提高,DEF Attribute Increased,防御属性UP,방어 속성 증가
破坏属性提高,破壞屬性提高,DES Attribute Increased,破壊属性UP,파괴 속성 증가
速度属性提高,速度屬性提高,Spd Attribute Increased,速度属性UP,속도 속성 증가
所有属性提高,所有屬性提高,Increase All Attributes,全属性UP,모든 속성 증가
攻击属性降低,攻擊屬性降低,ATK Reduced,攻撃属性DOWN,공격 속성 감소
防御属性降低,防禦屬性降低,DEF Reduced,防御属性DOWN,방어 속성 감소
破坏属性降低,破壞屬性降低,DES Reduced,破壊属性DOWN,파괴 속성 감소
速度属性降低,速度屬性降低,Spd Attribute Reduced,速度属性DOWN,속도 속성 감소
所有属性降低,所有屬性降低,All Attributes Reduced,全属性DOWN,모든 속성  감소
造成伤害提高,造成傷害提高,DMG Dealt Increased,与えるダメージUP,주는 피해가 증가
造成伤害降低,造成傷害降低,DMG Dealt Reduced,与えるダメージDOWN,주는 피해가 감소
受到伤害提高,受到傷害提高,DMG Taken Increased,受けるダメージUP,받는 피해가 증가
受到伤害降低,受到傷害降低,DMG Taken Reduced,受けるダメージDOWN,받는 피해가 감소
造成伤害增加,造成傷害增加,DMG Dealt Increased,与えるダメージUP,주는 피해가 증가
造成伤害减少,造成傷害減少,DMG Dealt Reduced,与えるダメージDOWN,주는 피해가 감소
受到伤害增加,受到傷害增加,DMG Taken Increased,受けるダメージUP,받는 피해가 증가
受到伤害减少,受到傷害減少,DMG Taken Reduced,受けるダメージDOWN,받는 피해가 감소
普通攻击伤害提高,普通攻擊傷害提高,Normal ATK DMG Dealt Increased,与える通常攻撃のダメージUP,주는 정상적인 공격 피해가 증가
普通攻击伤害降低,普通攻擊傷害降低,Normal DMG Dealt Reduced,与える通常攻撃のダメージDOWN,주는 정상적인 공격 피해가 감소
战术技能伤害提高,戰術技能傷害提高,Tactical Skill DMG Dealt Increased,与える戦術スキルのダメージUP,주는 전술 기술 피해가 증가
战术技能伤害降低,戰術技能傷害降低,Tactical Skill DMG Dealt Reduced,与える戦術スキルのダメージDOWN,주는 전술 기술 피해가 감소
追击技能伤害提高,追擊技能傷害提高,Pursuit Skill DMG Dealt Increased,与える追撃スキルのダメージUP,주는 추격 기술 피해가 증가
追击技能伤害降低,追擊技能傷害降低,Pursuit Skill DMG Dealt Reduced,与える追撃スキルのダメージDOWN,주는 추격 기술 피해가 감소
受到普通攻击伤害提高,受到普通攻擊傷害提高,Normal DMG Taken Increased,受ける通常攻撃のダメージUP,받는 정상적인 공격 피해가 증가
受到普通攻击伤害降低,受到普通攻擊傷害降低,Normal DMG Taken Reduced,受ける通常攻撃のダメージDOWN,받는 정상적인 공격 피해가 감소
受到战术技能伤害提高,受到戰術技能傷害提高,Tactical Skill DMG Taken Increased,受ける戦術スキルのダメージUP,받는 전술 기술 피해가 증가
受到战术技能伤害降低,受到戰術技能傷害降低,Reduce Tactical Skill DMG received,受ける戦術スキルのダメージDOWN,받는 전술 기술 피해가 감소
受到追击技能伤害提高,受到追擊技能傷害提高,Pursuit Skill DMG Taken Increased,受ける追撃スキルのダメージUP,받는 추격 기술 피해가 증가
受到追击技能伤害降低,受到追擊技能傷害降低,Pursuit Skill DMG Taken Reduced,受ける追撃スキルのダメージDOWN,받는 추격 기술 피해가 감소
受到咒术伤害,受到咒術傷害,Curse DMG Taken,呪いのダメージを受ける,받는 저주 피해가
受到燃烧伤害,受到燃燒傷害,Burning DMG Taken,燃焼のダメージを受ける,받는 연소 피해가
受到咒术伤害降低,受到咒術傷害降低,Curse DMG Taken  Reduced,呪いのダメージを受けるDOWN,받는 저주 피해가 감소
受到燃烧伤害降低,受到燃燒傷害降低,Burning DMG Taken Reduced,燃焼のダメージを受けるDOWN,받는 연소 피해가 감소
恢复兵力,恢復兵力,Restore Life,兵力を回復,부대가 치유됨
治疗系数,治療係數,Healing Coefficient,治療係数,치유 계수
伤害系数,傷害係數,DMG Coefficient,ダメージ係数,피해 계수
离间系数,離間係數,Blood Sucking Coefficien,吸血係数,흡혈 계수
真实伤害基数,真實傷害基數,Real DMG Base,真のダメージベース,실제 피해 기반
优先出手,優先出手,Prioritizes ATK,行動を優先する,공격을 우선시한다
真实伤害,真實傷害,Real DMG,実ダメージ,리얼 상해
溅射其他敌人,濺射其他敵人,Splash On Other Enemies,他の敵にスプラッシュ,다른 적들에게 스플래시
普通攻击时,普通攻擊時,When ATK Normally,通常攻撃時,일반 공격 시
发动战术技能时,發動戰術技能時,When Activating Tactical Skills,戦術スキル発動時,전술 스킬 발동 시
发动需要准备的战术技能时,發動需要準備的戰術技能時,When Activating The Tactical Skills That Needed To Prepare,準備が必要な戦術スキル発動時,준비가 필요한 전술 스킬 발동 시
发动不需要准备的战术技能时,發動不需要準備的戰術技能時,When Using A Tactical Skill That Does Not Require Preparation,準備不要の戦術スキル発動時,준비가 필요 없는 전술 스킬 발동 시
发动追击技能时,發動追擊技巧時,When Launching Pursuit Skills,追撃スキル発動時,추적 스킬 발동 시
受到普通攻击时,受到普通攻擊時,When Receiving A Normal ATK,通常攻撃を受けた時,일반 공격을 받을 때
受到任意攻击时,受到任意攻擊時,When Receiving Any Normal ATK,任意攻撃を受けた時,어떤 공격을 받을 때
受到任意伤害时,受到任意傷害時,When Receiving Any DMG,任意のダメージを受けた時,어떤 피해를 받을 때
对目标发动追击,對目標發動追擊,Launch Pursuit ATK On Target,目標に追撃を行う,대상에게 추격을 가하다
对其他目标再次发动追击,對其他目標再次發動追擊,Launch Another Pursuit On Other Targets,他の目标に再度追撃を行う,다른 대상을 다시 추격하다
在每回合行动前,在每回合行動前,Before Each Round,各ターンの行動前に,매 턴 행동 전
持续到战斗结束,持續到戰鬥結束,Until The End Of The Battle,戦闘終了まで続く,전투가 끝날 때까지 지속
处于强袭状态,處於強襲狀態,In An Assaulted State,を強襲状態にして,습격스러운 상태에서
处于专注状态,處於專注狀態,In A Focused State,を集中状態にして,집중된 상태에서
处于缴械状态,處於繳械狀態,In A Disarmed State,を武装解除にして,무장 해제된 상태에서
处于沉默状态,處於沉默狀態,In A Silenced State,を沈黙状態にして,침묵스러운 상태에서
处于眩晕状态,處於眩暈狀態,In A Stunned State,を眩暈状態にして,기절스러운 상태에서
处于混乱状态,處於混亂狀態,In A Chaos State,を混乱状態にして,혼란스러운 상태에서
处于禁疗状态,處於禁療狀態,In A Forbidden Treatment State,を禁療状態にして,치유 금지된 상태에서
处于嘲讽状态,處於嘲諷狀態,In A Provoked State,を嘲笑状態にして,도발스러운 상태에서
处于永恒状态,處於永恆狀態,In An Eternal State,を永遠の状態にして,영구스러운 상태에서
处于超导状态,處於超導狀態,In A Superconducting State,を超導状態にして,초전도스러운 상태에서
处于瞬法状态,處於瞬法狀態,In A Swiftcast State,を瞬法の状態にして,즉시스러운 상태에서
处于援护状态,處於援護狀態,In An Aid State,を援護状態にして,도움스러운 상태에서
处于极速状态,處於極速狀態,In A Topspeed State,を極速状態にして,신속스러운 상태에서
攻击附加真实伤害,攻擊附加真實傷害,ATK Adds Real DMG,攻撃は真のダメージを追加します,공격은 실제 피해를 추가합니다
无法进行普通攻击,無法進行普通攻擊,Cannot Launch Normal ATK,通常攻撃を行うことができません,일반공격을 진행할 수 없습니다
无法发动战术技能,無法發動戰術技能,Cannot Launch Tactical Skills,戦術技能を発動できなくなります,전술스킬을 발동할 수 없습니다
无法行动,無法行動,Unable To Move,動くことが出来ない,움직일 수 없다
进行无差别攻击,進行無差別攻擊,Carry Out Undifferentiated ATK,無差別攻撃を行い,무차별적인 공격을 가한다
无法受到治疗效果,無法受到治療效果,Cannot Be Healed,治らない,치유될 수 없다
持续1回合,持續1回合,Lasting For 1 Round,1ターン持続,1 턴 지속
持续2回合,持續2回合,Lasting For 2 Rounds,2ターン持続,2 턴 지속
持续3回合,持續3回合,Lasting For 3 Rounds,3ターン持続,3 턴 지속
属性不会发生改变,屬性不會改變,Attribute Will Not Be Changed,属性は変更されず,속성은 변경되지 않습니다
