id,line,line_en
0,{五百年前的“灭魔大战”之后，库洛兰德大陆在国王的治理之下，繁荣昌盛，各个种族和平相处。现如今魔族首领卷土重来，发动暴乱，囚禁国王。在星空预言中，唯有各大领主齐心协力，化作“破晓之剑”，才能成功击退魔族，恢复大陆秩序......},"After the Great Demon-Slaying War five hundred years ago, the continent of Krorand flourished under the rule of the king, with all races living in peace. Now, the demon lord has returned, inciting chaos and imprisoning the king. According to the prophecy of the stars, only by uniting the great lords to form the Dawnbreaker Sword can they successfully repel the demons and restore order to the continent..."
1,"{你来到了一个偏僻的村庄，这里将成为你重新开始的起点。
通过招募村民、建设基础设施，逐渐恢复村庄的生机。}

{达菲} {加入队伍}
{荒} {加入队伍}
{普奥娜} {加入队伍}","You have arrived at a remote village, which will become your fresh starting point.
By recruiting villagers and constructing infrastructure, you'll gradually restore vitality to the settlement.

Duffy Join Team
Susabi Join Team
Puona Join Team"
2,{村民们投身军营，经过训练，一支强大的军队逐渐成型。怀揣同样的信念，人们相聚于此，为了终结混乱、守护家园、开创新时代。全力以赴，誓要书写不朽传奇。当战鼓擂响，这支由梦想与信念凝聚的军队，将用胜利谱写新的篇章。集结的号角，不仅召唤战士，更唤醒了希望.....},"The villagers joined the military camp, and after training, a powerful army gradually took shape. With the same belief, people gathered here to end the chaos, protect their homes, and create a new era. They went all out and vowed to write an immortal legend. When the drums of war sounded, this army, united by dreams and beliefs, would write a new chapter with victory. The rallying horn not only summoned the soldiers, but also awakened hope..."
3,"{村庄逐渐繁荣,农业、工业、商业都得到了迅速发展，人民生活水平显著提高。丰富的资源储备成为推动社会发展的第一步，为村庄的崛起奠定了坚实基础。收集情报，了解叛军的动向和大陆的局势尤为重要，是为未来的决策提供关键的支持。在这片充满希望的土地上，繁荣与稳定正逐步成为现实......}","The village gradually prospers, agriculture, industry, and commerce have all developed rapidly, and people's living standards have improved significantly. The rich resource reserves have become the first step in promoting social development, laying a solid foundation for the rise of the village. It is particularly important to collect intelligence and understand the movements of the rebels and the situation on the continent, which provides key support for future decision-making. In this land full of hope, prosperity and stability are gradually becoming a reality..."
4,{文明之光，随着经济的繁荣而愈发耀眼。文化与科技迎来了空前的发展，人们在不断探索未知领域的过程中，推动了文明的进步。知识的积累与创新的火花交织，点亮了前行的道路。这片大陆，正以不可阻挡的姿态迈向新的高度，而文明的光芒，将照亮未来的每一个角落......},"The light of civilization is becoming more and more dazzling with the prosperity of the economy. Culture and technology have ushered in unprecedented development. In the process of constantly exploring unknown areas, people have promoted the progress of civilization. The accumulation of knowledge and the spark of innovation are intertwined, lighting up the way forward. This continent is moving towards new heights with an unstoppable attitude, and the light of civilization will illuminate every corner of the future..."
5,{叛军的势力如野火般蔓延，只守护一方之地已不足以拯救整个大陆。要想保护自己的国家和人民，必须拥有更强的力量，必须主动出击。握紧手中的剑柄，点燃心中的火焰，带领军队踏上征程吧！每一步都为了结混乱，每一战都为了迎接黎明，雄心燃烧，终将照亮胜利的道路......},"The rebels are spreading like wildfire. It is no longer enough to protect only one side of the country. To protect your country and people, you must have stronger power and take the initiative. Hold the hilt of the sword tightly, ignite the fire in your heart, and lead the army on the journey! Every step is to end the chaos, every battle is to welcome the dawn, the burning ambition will eventually illuminate the road to victory..."
6,{战争一触即发，军队如雷霆般席卷战场，展现出惊人的战斗力。出色的指挥和战士们无惧生死的英勇，使得叛军节节败退。荣耀如星辰般闪耀，照亮了每一片曾被黑暗笼罩的土地。剑锋所指，便是胜利与希望的方向......},"The war was about to break out. The army swept across the battlefield like thunder, showing amazing fighting power. Excellent command and the bravery of the soldiers who were not afraid of life and death made the rebels retreat step by step. Glory shone like a star, illuminating every piece of land that was once shrouded in darkness. Wherever the sword pointed, it was the direction of victory and hope..."
7,{战火带来的破坏与人民的痛苦，仅凭一己之力已难以拯救大陆。当再次握紧武器，天使的战士之魂便重获新生。战意的燃烧，明白使命不仅是战斗，更是终结苦难，守护希望。这一刻，改变大陆命运的重任交由你的手中......},"The destruction brought by the war and the suffering of the people, it is difficult to save the continent by one's own strength. When you hold the weapon tightly again, the warrior soul of the angel will be reborn. The burning will to fight, understand that the mission is not only to fight, but also to end suffering and protect hope. At this moment, the responsibility of changing the fate of the continent is in your hands..."
8,{精心策划，集结力量，瞄准关键之地，一举夺下。每一步行动都经过深思熟虑，每一场战斗都关乎未来命运。当战鼓擂响，属于我们的旗帜插上城墙，失地重归。这一战，是属于自己的传奇......},"Carefully plan, gather strength, aim at the key place, and seize it in one fell swoop. Every step is carefully considered, and every battle is related to the future destiny. When the drums of war sound, our flags are planted on the city walls, and the lost land is returned. This battle is your own legend..."
9,{真正的胜利不仅仅是战场上的凯旋，在动荡之后建立起稳固的根基也值得考量。每一座新收复的城池，每一片新纳入版图的土地，都需要精心治理。将混乱的局势转化为有序的规则，让人民在安稳中看到希望......},"True victory is not just about triumph on the battlefield, but also about building a solid foundation after the turmoil. Every newly recovered city and every piece of land newly included in the territory needs to be carefully governed. Transform the chaotic situation into orderly rules, so that the people can see hope in stability..."
