Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
文静,文靜,Quiet,穏やか,조용한
内敛,內斂,Reserved,内気,내성적
克制,克制,Reserved,控えめ,절제된
外冷内热,外冷内熱,Aloof yet kind,クールで熱い,냉정하지만 따뜻한
热血,熱血,Passionate,熱血,열혈
坚毅,堅毅,Strong-willed,堅毅,강인한
温柔,溫柔,Gentle,優しい,부드러운
天真,天真,Naive,天真,순진한
天真烂漫,天真爛漫,Artlessly Charming,天真らんまん,천진난만
正义,正義,Just,正義,정의로운
乐观,樂觀,Optimistic,楽観的,낙관적인
理想主义,理想主義,Idealistic,理想主義,이상주의
骄傲,驕傲,Proud,誇り高い,자랑스러운
古灵精怪,古靈精怪,Charmingly Naughty,いたずらで可愛い,발랄한
完美主义,完美主義,Perfectionist,完璧主義,완벽주의
孤傲,孤傲,Aloof,孤高,고고한
敏感,敏感,Sensitive,敏感,예민한
狡黠,狡猾,Cunning,狡猾,교활한
勇敢,勇敢,Brave,勇敢,용감한
神秘,神秘,Mysterious,神秘的,신비로운
高傲,高傲,Haughty,高慢,거만한
冷静,冷靜,Calm,冷静,차분한
随性,隨性,Easygoing,気まま,느긋한
莽撞,莽撞,Reckless,無鉄砲,무모한
清冷,清冷,Refined and aloof,清涼,청량한
纯真,純真,Innocent,純真,순수한
悲悯,悲憫,Compassionate,慈悲深い,자비로운
飒爽,颯爽,Dashing,颯爽,당당한
纯粹,純粹,Pure,純粋,순수한
冷酷,冷酷,Callous,冷酷,냉혹한
坚韧,堅韌,Tenacious,粘り強い,끈질긴
沉稳,沉穩,Steady,落ち着いた,침착한
单纯,單純,Simple,単純,단순한
警惕性强,警覺,Vigilant,警戒的,경계하는
冷血,冷血,Cold,冷血,냉혈
敏锐,敏銳,Keen,鋭敏,예리한
忠诚,忠誠,Loyal,忠実,충실한
孤僻,孤僻,Withdrawn,孤僻,내성적인
活泼,活潑,Lively,活発,활발한
懵懂,懵懂,Clueless,無知,어리둥절한
豪爽,豪爽,Forthright,豪快,호탕한
健忘,健忘,Forgetful,忘れっぽい,건망증
优雅,優雅,Graceful,優雅,우아한
开朗,開朗,Cheerful,朗らか,쾌활한
谦逊,謙遜,Humble,謙虚,겸손한
渴暖者,渴暖者,Warmth-seeker,温もりを求める,따뜻함을 갈구하는
虔诚,虔誠,Devout,敬虔,경건한
冷漠,冷漠,Apathetic,冷淡,냉담한
顽皮,頑皮,Playful,腕白,장난꾸러기
自由,自由,Free-spirited,自由奔放,자유분방한
警醒,警醒,Alert,警戒心,경계하는
冰冷,冰冷,Icy,冷淡,얼음같은
理性,理性,Rational,理性的,이성적인
仁心,仁心,Benevolent,慈悲深い,인자한
好战,好戰,Belligerent,好戦的,호전적인
执着,執著,Persistent,執着,집착하는
烂漫,爛漫,Romantic,天真爛漫,낭만적인
积极,積極,Positive,積極的,적극적인
细腻,細膩,Delicate,繊細,섬세한
现实,現實,Realistic,現実的,현실적인
倔强,倔強,Stubborn,頑固,고집센
果敢,果敢,Resolute,果断,과감한
热情,熱情,Enthusiastic,熱心,열정적인
孤独,孤獨,Lonely,孤独,고독한
善良,善良,Kind,善良,착한
亲和,親和,Approachable,親しみやすい,친근한
不羁,不羈,Unrestrained,奔放,자유분방한
热忱,熱忱,Ardent,熱意,열의
果决,果決,Decisive,果断,결단력 있는
慵懒,慵懶,Lazy,怠惰,게으른
高冷,高冷,Cold and aloof,クール,도도한
细心,細心,Attentive,細心,세심한
心软,心軟,Soft-hearted,心優しい,마음 약한
警觉,警覺,Vigilant,警戒的,경계하는
自律,自律,Self-disciplined,自律,자기 훈련된
自持,自持,Self-possessed,自制,자제하는
依赖,依賴,Dependent,依存,의존하는
迷糊,迷糊,Confused,ぼんやり,멍한
直率,直率,Blunt,率直,직설적인
独立,獨立,Independent,独立,독립적인
谨慎,謹慎,Prudent,慎重,신중한
勤奋,勤奮,Diligent,勤勉,근면한
温暖,溫暖,Warm,温かい,따뜻한
淡漠,淡漠,Indifferent,無関心,무관심한
不拔,不拔,Unyielding,不屈,불굴의
仁爱,仁愛,Kind-hearted,仁愛,인자한
孤绝,孤絕,Isolated,孤独,고립된
内向,內向,Introverted,内向,내향적인
愤世嫉俗,憤世嫉俗,Cynical,世を拗ねる,냉소적인
睿智,睿智,Wise,聡明,지혜로운
观察动植物,觀察動植物,Observe plants and animals,動植物を観察,동식물 관찰
学习魔法,學習魔法,Learn magic,魔法を学ぶ,마법 배우기
占卜,占卜,Divination,占い,점치기
专研剑术,專研劍術,Study swordsmanship,剣術を研究,검술 연구
收集徽章,收集徽章,Collect badges,バッジを収集,배지 수집
编织花环,編織花環,Weave flower crowns,花冠を編む,꽃 관 만들기
画画,畫畫,Draw,絵を描く,그림 그리기
探险,探險,Explore,探検,탐험
散步,散步,Take a walk,散歩,산책
阅读古籍,閱讀古籍,Read ancient books,古籍を読む,고서 읽기
收集武器,收集武器,Collect weapons,武器を収集,무기 수집
逗弄妹妹,逗弄妹妹,Tease younger sister,妹をからかう,여동생 놀리기
跳舞,跳舞,Dance,踊る,춤추기
唱歌,唱歌,Sing,歌う,노래하기
烹饪,烹飪,Cook,料理,요리
战斗,戰鬥,Fight,戦闘,전투
照料花卉,照料花卉,Tend flowers,花を育てる,꽃 가꾸기
收集稀有珠宝,收集稀有珠寶,Collect rare jewels,希少な宝石を収集,희귀 보석 수집
培育奇异植物,培育奇異植物,Cultivate exotic plants,珍しい植物を栽培,희귀 식물 재배
钻研魔法,鑽研魔法,Research magic,魔法を研究,마법 연구
参加舞会,參加舞會,Attend a ball,舞踏会に参加,무도회 참석
讨论战术,討論戰術,Discuss tactics,戦術を討論,전술 토론
感知风息,知覺風息,Sense the wind,風を感知,바람 감지
锻炼怪力,鍛鍊怪力,Train monstrous strength,怪力を鍛える,괴력 훈련
感受大自然,感受大自然,Feel nature,自然を感じる,자연 느끼기
森林歌舞,森林歌舞,Forest singing and dancing,森林で歌い踊る,숲속에서 노래하고 춤추기
暗夜练刀,暗夜練刀,Practice blades at night,夜に刀を練習,밤에 칼 연습
祈福祷告,祈福禱告,Pray,祈りを捧げる,기원
收集古怪教具,收藏古怪教具,Collect strange teaching tools,奇妙な教具を収集,기묘한 교구 수집
钻研神秘魔法,鑽研神秘魔法,Study mysterious magic,神秘的な魔法を研究,신비한 마법 연구
品鉴下午茶,品嚐下午茶,Enjoy afternoon tea,アフタヌーンティーを楽しむ,애프터눈 티 즐기기
做魔法实验,做魔法實驗,Conduct magic experiments,魔法実験を行う,마법 실험 수행
回忆童年,回憶童年,Recall childhood,子供時代を回想,어린 시절 회상
山林探险,山林探險,Mountain forest exploration,山林を探検,산림 탐험
雕琢海洋宝石,雕琢海洋寶石,Carve ocean gems,海洋の宝石を彫る,바다 보석 조각
月下漫步,月下漫步,Moonlit walk,月下で散歩,달빛 아래 산책
魔术表演,魔術表演,Magic performance,マジック表演,마술 공연
听故事,聽故事,Listen to stories,話を聞く,이야기 듣기
观星,觀星,Stargaze,星を観察,별 관측
打磨武器,打磨武器,Sharpen weapons,武器を研ぐ,무기 갈기
挑战自我,挑戰自我,Challenge oneself,自分に挑戦,자기 자신에게 도전
打理玫瑰园,打理玫瑰園,Tend the rose garden,バラ園を手入れ,장미 정원 가꾸기
追寻光,追尋光,Pursue light,光を追う,빛을 추구
钻研剑术,鑽研劍術,Study swordsmanship,剣術を研究,검술 연구
狩猎,狩獵,Hunt,狩り,사냥
捉迷藏,捉迷藏,Play hide-and-seek,かくれんぼ,숨바꼭질
梳理羽毛,梳理羽毛,Groom feathers,羽を整える,깃털 정리
擦拭军牌,擦拭軍牌,Clean military tags,軍用タグを拭く,군용 태그 닦기
