HeroNum,Heighi,Age,Birthday,Character,Interest,boring,BgColor,Character_en,Interest_en
1,155,15,3/15,{文静},{观察动植物},0,2,Quiet,Observe plants and animals
2,162,17,9/3,"{内敛},{克制}",{学习魔法},0,3,"Reserved,Reserved",Learn magic
3,168,617,11/7,{外冷内热},{占卜},0,1,Aloof yet kind,Divination
4,165,17,8/12,"{热血},{好战}",{专研剑术},0,3,"Passionate,Belligerent",Study swordsmanship
5,167,22,7/20,"{坚毅},{执着}",{收集徽章},0,3,"Strong-willed,Persistent",Collect badges
6,158,17,3/24,"{温柔},{坚毅}",{编织花环},0,4,"Gentle,Strong-willed",Weave flower crowns
7,152,15,10/4,{天真烂漫},{画画},0,1,Artlessly Charming,Draw
8,160,17,8/15,"{正义},{勇敢}",{探险},0,1,"Just,Brave",Explore
9,157,16,6/9,{乐观},{散步},0,1,Optimistic,Take a walk
10,162,20,12/25,{理想主义},{阅读古籍},0,2,Idealistic,Read ancient books
11,165,16,10/31,{骄傲},{收集武器},0,4,Proud,Collect weapons
12,158,18,6/1,{古灵精怪},{逗弄妹妹},0,2,Charmingly Naughty,Tease younger sister
13,161,21,2/14,{温柔},{跳舞},0,1,Gentle,Dance
14,165,19,5/30,{完美主义},{唱歌},0,1,Perfectionist,Sing
15,161,22,9/20,"{温柔},{坚毅}",{烹饪},0,4,"Gentle,Strong-willed",Cook
16,172,22,1/5,{孤傲},{战斗},0,6,Aloof,Battle
17,155,14,7/7,"{敏感},{细腻}",{照料花卉},0,3,"Sensitive,Delicate",Tend flowers
18,152,25,11/13,"{狡黠},{现实}",{收集稀有珠宝},0,6,"Cunning,Realistic",Collect rare jewels
19,166,20,3/16,"{勇敢},{坚毅}",{探险},0,2,"Brave,Strong-willed",Explore
20,172,300,3/21,"{神秘},{清冷}",{培育奇异植物},0,1,"Mysterious,Refined and aloof",Cultivate exotic plants
21,152,510,12/22,"{温柔},{坚毅}",{钻研魔法},0,1,"Gentle,Strong-willed",Research magic
22,166,22,10/15,"{高傲},{倔强}",{参加舞会},0,6,"Haughty,Stubborn",Attend a ball
23,170,25,8/8,"{冷静},{果敢}",{讨论战术},0,6,"Calm,Resolute",Discuss tactics
24,162,253,4/17,{随性},{感知风息},0,2,Easygoing,Sense the wind
25,165,15,6/12,"{莽撞},{热情}",{锻炼怪力},0,5,"Reckless,Enthusiastic",Train monstrous strength
26,153,350,2/2,"{清冷},{孤独}",{感受大自然},0,1,"Refined and aloof,Lonely",Feel nature
27,165,230,5/3,"{纯真},{自由}",{森林歌舞},0,2,"Innocent,Free-spirited",Forest singing and dancing
28,169,22,11/11,"{坚毅},{执着}",{暗夜练刀},0,2,"Strong-willed,Persistent",Practice blades at night
29,163,24,9/15,"{悲悯},{善良}",{祈福祷告},0,1,"Compassionate,Kind",Pray
30,167,28,7/19,"{温柔},{亲和}",{收集古怪教具},0,4,"Gentle,Approachable",Collect strange teaching tools
31,172,420,12/12,"{冷静},{理性}",{钻研神秘魔法},0,1,"Calm,Rational",Study mysterious magic
32,168,350,6/6,"{飒爽},{不羁}",{品鉴下午茶},0,2,"Dashing,Unrestrained",Enjoy afternoon tea
33,160,20,3/3,"{纯粹},{热忱}",{做魔法实验},0,4,"Pure,Ardent",Conduct magic experiments
34,155,22,10/26,{冷酷},{回忆童年},0,1,Callous,Recall childhood
