id,LinesHero,summon_line,click_line1,click_line2,click_line3,file_name,fightRetVoice,cmdVoice,fightEff,isFly,HeroJob,summon_line_en,click_line1_en,click_line2_en,click_line3_en
1,0,{请多指教},{只是叫一下你啦~},{又要战斗了吗？好困....},{一起睡觉吗？嗯？},1,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5,0+Self_1001,1,3,Please advise,just calling you~,Are you going to fight again? sleepy....,Do you sleep together? Um?
2,0,{我是辛，还要请阁下多多关照。},{左眼吗？这是圣女的印记呢。},{听，这是……灵魂的歌声。},{阁下，请不要靠近我，会带来不幸的。},2,1_2_3,cmd1_cmd2_cmd3_cmd4,1+Skill_1084,1,3,I'm Shin and I'd appreciate your kind attention.,Left eye? This is the mark of the virgin of death,"Listen, this is the song of the soul","Lord, please stay away from me. It will bring misfortune"
3,0,{我可不会帮那些脆弱的小鬼。},{后辈，你比我想象中有趣。},{嗯？海芙约特那小鬼又在干嘛？},{人家真的17岁，你有意见？},3,1_2_3_4,cmd1_cmd2_cmd3_cmd4_cmd5,0+Skill_1001,1,4,I'm not going to help those vulnerable kids,"You are more interesting than I thought, my younger generation","Well, what's up with the little kid Heffyote?",I'm really 17 years old. Do you have any opinion?
4,0,{在下名为清真纪，略懂一点剑术。},{极致的剑道才是我生命的尽头。},{优雅而美丽的剑术吗？},{心中有剑便是“一切即剑”。},0,1_2_3_4,0,0,0,1,My name is SEI Maki. I know a little about swordsmanship,The ultimate sword is the end of my life,Is it elegant and beautiful?,"Having a sword in mind is ""everything is a sword."""
5,0,{我将成为您手中最锋利的剑，我将成为您身前最坚固的盾。},{唯有拥有强健的体魄加上聪慧的心灵，才能完成被托付的使命。},{其实我并不是一名上校，我只是一个举着旗帜命令士兵前往战场的家伙。},{目前最重要的任务是消灭魔物，维持世界正常运作。},5,1_4,cmd1_cmd2_cmd3,0+Self_1003,0,4,I would be the sharpest sword in your hand and the strongest shield in front of you.,Only with a strong body and a wise mind can you fulfill the mission entrusted to you,"In fact, I'm not a colonel. I'm just a guy holding a flag and ordering soldiers to go to the battlefield.",The most important task at the moment is to destroy evil spirits and keep the world running.
6,0,{德莉法前来报到，以后请多关照。},{什么事？我知道了立刻执行。},{明天，和娜娜酱约好了要去逛街，请批准休假。},{这个？这是娜娜酱送我的发饰，是成对的呢，是我珍贵的宝物。},6,1_2_3,cmd1_cmd2_cmd3_cmd4_cmd5_cmd6,0+Skill_1001,1,4,"Derifa is here to report, please take care of me in the future",What? I know it to be carried out immediately,"Tomorrow, I have an appointment with Nana to go shopping. Please approve the vacation",This? This is Nana's hair ornament. It's a pair. It's my precious treasure
7,0,{出-击~.....啊.迷路了},{嗯？},{唔..充电中~},{好吵},7,1_2_3_4,cmd1_cmd2_cmd3_cmd4,0+Skill_1084,1,4,out-strike~...ah. lost,Um?,Uh..charging~,so noisy~
8,0,{唉！为什么一直盯着我的耳朵看啊， 城主大人难道从未见过精灵吗？},{冲呀！我们一起扬帆起航！},{城主阁下我看见了哦，你是想摸我的耳朵吧，一定是的吧！},{我的朋友们，不知道此刻大海是否依然风平浪静，愿众神保佑他们。},0,2_3,0,0,0,5,Ah! Why have you been staring at my ears? Has the Lord never seen an elf?,Rush! Let's sail together!,"I see it, Lord. You want to touch my ear. It must be!","My friends, I do not know whether the sea is still calm, may the gods bless them."
9,0,{城主大人，我们一起努力吧！},{那个……我大概也许……可以帮得上忙。},{大海变幻莫测……出海时一定要小心。},{风浪平息了。},9,1_2_3_4,cmd1_cmd2_cmd3_cmd4,0+AddHP,0,2,"Lord, let's work together!",Emm... I probably... I can help.,The sea is unpredictable... Must be careful when going out to sea,The storm has subsided.
10,0,{偶尔脱离繁重的政务出来放松一下，感觉还是很不错呢。},{真是很好的天气呢，阁下要与我一起共享下午茶吗？},{作为皇室成员我必须时刻为人族着想。},{成为冒险者的时光真的非常快乐！},0,3_4,0,0,0,2,It's nice to take a break  from the heavy politics and relax in a while.,It is a fine day. Will your Excellency join me for tea?,"As a member of the royal family, I must always be considerate of the human race.",The time of becoming an adventurer is really happy!
