Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
无,無,Nothing,無,없음
我,我,Me,私,나
系统,系統,System,システム,시스템
账号,賬號,ID,ID,ID
密码,密碼,Password,パスワード,암호
点击,點擊,Click,クリック,클릭
登录,登錄,Login,ログイン,로그인
注册,註冊,Register,創建,만들기
男,男,Male,男,남성
女,女,Female,女,여성
确认,確認,Confirm,確認,확인
确定,確定,OK,確定,확인
取消,取消,Cancel,キャンセル,취소
提示,提示,Tips,ヒント,알림
内容,內容,Content,内容,내용을
输入,輸入,Enter,入力,입력
发送,發送,Send,送信,보내기
手机号,手機號,Phone Number,電話番号,핸드폰 번호
验证码,驗證碼,Captcha,検証コード,인증코드
服务器,伺服器,Server,サーバー,서버
选择服务器,選擇伺服器,Select Server,サーバー選択,서버 선택
更换服务器,更換伺服器,Change Server,サーバーを変更,서버 변경
选择支付方式,選擇支付方式,Select Payment Method,支払い方法を選択する,지불방식을 선택해주세요
支付方式,支付方式,Payment Method,支払い方式,지불 방식
需支付,需支付,Payable,支払いを要する,지불이 필요합니다
支付宝,Alipay,Alipay,Alipay,Alipay
微信,WeChat,WeChat,WeChat,WeChat
不存在,不存在,Nonexistent,存在しない,존재하지 않는다
旗帜,旗幟,Banner,旗,깃발
创建,創建,Create,創建,생성
进入,進入,Enter,入力,들어가다
兑换,兌換,Exchange,両替,교환
提供,提供,Supply,供給,공급
需求,需求,Need,需要,수요
任意,任意,Any,任意,어느
交换,交換,Exchange,交換,교환
兑换码,兌換碼,CDK,CDK,CDK
激活码,激活碼,Activation Code,アクティベーションコード,활성 코드
编号,編號,ID,番号付け,번호
信息,信息,Info,情報,정보
查看,查看,Check,チェック,수표
详情,詳情,Details,詳細,정보
维护,維護,Maintain,整備中,정비 중
流畅,流暢,Smooth,円滑,원활
拥挤,擁擠,Crowded,混雑,혼잡
爆满,爆滿,Full,満員,포만
昵称,昵稱,Nickname,ニックネーム,닉네임
头像,頭像,Via,顔写真,아바타
头像框,頭像框,Frame,写真枠,아바타 틀
改名,改名,Rename,改名,수정
名称,名稱,Name,名前,이름
帧率,幀率,Frame Rate,フレームレート,프레임 속도
简体中文,簡體中文,Simplified Chinese,簡体字中国語,중국어 간체
繁体中文,繁體中文,Traditional Chinese,繁体字中国語,중국어 번체
英语,英語,English,英語,영어
日语,日語,Japanese,日本語,일본어
韩语,韓語,Korean,韓国語,한국어
背景,背景,Background,背景,배경
声音,聲音,Sound,サウンド,소리
音乐,音乐,Music,BGM,배경 음악
音效,音效,Sound,効果音,효과음
语言,語言,Language,言語,언어
其它,其它,Other,它の,또 다른
其他,其他,Other,他の,또 다른
错误,錯誤,Error,エラー,오류
正确,正確,Correct,正しい,알맞은
异常,異常,Error,エラー,오류
区域,區域,Region,エリア,구역
