Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
我是拥有时间力量的克罗洛丝，请……请让我为了这个世界奉献出自己的力量吧！,"我是擁有時間力量的克羅洛絲,請...請讓我為了這個世界奉獻出自己的力量吧!",I'm krollos with the power of time. Please... Please let me contribute my strength to the world!,私は時間の力を持っているクロックスです。この世界のために自分の力を捧げさせてください。,저는 시간의 힘을 가진 클로스입니다. 제발... 제가 이 세상을 위해 자신의 힘을 바칠 수 있게 해주세요!
尤缇迦大人最近非常忙碌，我要乖乖的才行。,"尤緹迦大人最近非常忙碌,我要乖乖的才行.","Lord Utica has been very busy lately, and I must behave myself.",ユティガ様は最近とても忙しいです。おとなしくしています。,유티가 님은 요즘 바쁘시니 얌전히 있어야겠어요.
不够成熟的我有没有好好帮到城主大人与各位同伴呢？,不夠成熟的我有沒有好好幫到城主大人與各位同伴呢?,Have I helped the Lord and other companions?,未熟な私は、城主様と仲間の皆様を助けてあげましたか？,성숙하지 못한 제가 성주님과 동료 여러분을 잘 도와드렸나요?
时间的力量并不是凡人能够掌控的，我会努力学习的。,"時間的力量並不是凡人能夠掌控的,我會努力學習的.",The power of time is not under the control of mortals. I will study hard,時間の力は凡人が掌握することができるのではありませんて、私は努力して学ぶことができます。,시간의 힘은 인간이 통제할 수 있는 것이 아닙니다.
我是辛，还要请阁下多多关照。,"我是辛,還要請閣下多多關照.",I'm Shin and I'd appreciate your kind attention.,シンです、よろしくお願いします。,제 이름은 신입니다. 잘 부탁드립니다.
左眼吗？这是圣女的印记呢。,左眼嗎?這是聖女的印記呢.,Left eye? This is the mark of the virgin of death,左目？これは聖女の印です。,왼쪽 눈이요? 성녀의 표식인데..
听，这是……灵魂的歌声。,"聽,這是...靈魂的歌聲.","Listen, this is the song of the soul",聞いてください、これは...魂の歌です。,"들어봐, 이건.. 영혼의 노랫소리야."
阁下，请不要靠近我，会带来不幸的。,"閣下,請不要靠近我,會帶來不幸的.","Lord, please stay away from me. It will bring misfortune",閣下、私に近づかないでください。不幸をもたらします。,"각하, 나에게 접근하지 마십시오. 불운을 가져올 것이니."
我可不会帮那些脆弱的小鬼。,我可不會幫那些脆弱的小鬼.,I'm not going to help those vulnerable kids,あの弱いガキどもを助けるつもりはない。,나는 그런 약한 녀석들을 도와주지 않을거야.
后辈，你比我想象中有趣。,"後輩,妳比我想象中有趣.","You are more interesting than I thought, my younger generation",後輩、あなたは思ったより面白いです。,"후배 님, 생각보다 재밌으시네요."
嗯？海芙约特那小鬼又在干嘛？,嗯?海芙約特那小鬼又在幹嘛?,"Well, what's up with the little kid Heffyote?",えっと？海芙約束特のちびは何をしていますか？,응? 헤프루트 녀석은 또 뭐하는거야?
人家真的17岁，你有意见？,"人家真的17歲,妳有意見?",I'm really 17 years old. Do you have any opinion?,17歳です。ご意見がありますか？,"나 정말 17살인데, 불만있어?"
在下名为清真纪，略懂一点剑术。,"在下名為清真紀,略懂一點劍術.",My name is SEI Maki. I know a little about swordsmanship,次の名前は清真紀です。剣道は少し分かります。,청진기의 이름 하에 있는 자로서 검술을 조금 알고 있습니다.
