Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
采集技巧,採集技巧,Gathering Technique,採集技巧,채집 기술
耕作技巧,耕作技巧,Farming Technique,耕作技巧,경작 기술
栽植技巧,栽植技巧,Planting Technique,植栽技巧,심기 기술
建筑技巧,建築技巧,Building Technique,建築技巧,건축 기술
开采技巧,開採技巧,Mining Technique,採石技巧,채광 기술
采矿技巧,採礦技巧,Quarrying Technique,採掘技巧,광산 기술
侦察技巧,偵察技巧,Scout Technique,偵察技巧,정찰 기술
行军技巧,行軍技巧,Marching Technique,行軍技巧,행군 기술
粮食收割,糧食收割,Food Harvest,食料収穫,식량 수확
木材砍伐,木材砍伐,Wood Felling,木材伐採,목재 벌채
采集强化,採集強化,Enhanced Gathering,採集強化,채집 강화
科研,科研,Research,研究,연구
地仓扩建,地倉擴建,Storehouse Expansion,倉庫拡張,창고 확장
石料甄别,石料甄別,Stone Screening,石材選別,석재 상영
铁矿勘察,鐵礦勘察,Iron Ore Survey,鉄鉱探鉱,철광석 탐사
小型运输车,小型運輸車,Transport Cart,小型運輸車,소형 수송차
浇灌,澆灌,Irrigation,灌漑,관개
施肥,施肥,Fertilization,施肥,비료
构建原理,構建原理,Construction Principles,構築原理,구축 원리
割麦长镰,割麥長鐮,Scythes,麦刈り鎌,큰 낫
弯把锯,彎把鋸,Curved Saw,曲がり鋸,곡선 톱
进阶科研,進階科研,Advanced Research,進階研究,진급 연구
碎石加工,碎石加工,Stone Processing,砕石処理,석재 가공
铁矿精炼,鐵礦精煉,Iron Ore Refining,鉄鉱精錬,철광 정련
大型运输车,大型運輸車,Transporter,大型運輸車,대형 수송차
附魔铁锹,附魔鐵鍬,Enchanting Shovel,魔法の鋤,마법 삽
附魔铁镐,附魔鐵鎬,Enchanting Pickaxe,魔法の鍬,마법 곡괭이
器械应用,器械應用,Machine Application,器械応用,기계 응용
建筑学,建築學,Architecture,建築学,건축학
训练有素,訓練有素,Well Trained,百錬,잘 훈련된
格斗术,格鬥術,Combat Skill,格闘術,격투술
