Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
奥尔露恩邀请帕特拉加入什么组织？,奧爾露恩邀請帕特拉加入什麼組織？,Which organization did Olrun invite Patra to join?,オルルンはパトラをどの組織に誘ったのか？,올룬이 파트라를 어떤 단체에 초대했나요?
须佐真希使用的刀叫什么名字？,須佐真希使用的刀叫什麼名字？,What's name of the sword used by SusaMaki?,須佐真希が使う刀の名前は？,수사 마키가 사용하는 검의 이름은?
奥尔露恩派谁去抢夺须佐家族的妖刀彼岸？,奧爾露恩派誰去搶奪須佐家族的妖刀彼岸？,"Who did Olrun send to seize the demon blade ""Higan"" from the Susa clan?",オルルンは須佐家の妖刀「彼岸」を奪うために誰を派遣したのか？,올룬이 수사 가문의 요도 「피안」을 빼앗으려 누구를 보냈나요?
波蒙的称号是什么？,波蒙的稱號是什麼？,What is Pomon's title?,ポーモンの称号は何ですか？,포몬의 칭호는 무엇인가요?
"圣骑士团拥有""灾星""的称号是？",聖騎士團擁有「災星」的稱號是？,"Who in the Holy Knights holds the title ""Calamity Star""?",聖騎士団で「災星」の称号を持つのは？,성기사단에서 「재앙의 별」 칭호를 가진 자는?
辛的圣女印记在哪里？,辛的聖女印記在哪裡？,Where is Shin's Saintess Mark?,シンの聖女の刻印はどこにあるのか？,신의 성녀 각인은 어디에 있나요?
喜欢经常和克丽奥娜比武的是谁？,喜歡經常和克麗奧娜比武的是誰？,Who enjoys sparring with Cliodna frequently?,よくクレオナと試合をするのが好きなのは誰ですか？,크리오나와 자주 시합하는 것을 좋아하는 이는 누구인가요?
"梦可可总是睡不醒是因为高级魔法之一""_______""的初期反映？",夢可可總是睡不醒是因為高級魔法之一「_______」的初期反映？,"Is Monccoco always sleepy due to the initial effects of the advanced magic ""_______""?",モンコッコがいつも眠いのは、上級魔法「_______」の初期反応のせいですか？,몽코코가 항상 잠에서 깨지 못하는 것은 고급 마법 「_______」의 초기 반응 때문인가요?
谁救过巴托里？,誰救過巴托里？,Who saved Batory?,バトリを救ったのは誰ですか？,바토리를 구한 이는 누구인가요?
"默林赛斯镇靠着""生命之树""发展得越发繁华，""生命之树""来自于？",默林賽斯鎮靠著「生命之樹」發展得越發繁華，「生命之樹」來自於？,"Merlinseath flourishes with the ""Tree of Life"" - where did the Tree of Life originate from?",メリンシースは「命の樹」によって繁栄しているが、この「命の樹」はどこから来たのか？,"멀린시스 마을은 「생명의 나무」 덕분에 번영하고 있는데, 이 「생명의 나무」는 어디에서 온 것인가?"
