Hero_id,Bg_Line1,Bg_Line2,Bg_Line3,Bg_Line4,Bg_Line5,Bg_Line6,Bg_Line7,Bg_Line8,Bg_Line9,Bg_Line10,Bg_Line11,Bg_Line12,Bg_Line13,Bg_Line14,Bg_Line15,Bg_Line16,Bg_Line17,Bg_Line18,Bg_Line1_en,Bg_Line2_en,Bg_Line3_en,Bg_Line4_en,Bg_Line5_en,Bg_Line6_en,Bg_Line7_en,Bg_Line8_en,Bg_Line9_en,Bg_Line10_en,Bg_Line11_en,Bg_Line12_en
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2,{伴随着封灵碑诞生的女孩，左眼有着圣女的印记，那是上一任四大祭司之一——暗魔法使用者意志的传承。},{从小被当作圣女培养的辛身上肩负着救世的重任，自懂事起便被教育不能意气用事，同龄的玩伴也被长辈告知不能轻易接近，“强大”于别人而言是望尘莫及的星星，于她，则是如影随形的禁锢。},{如今，她已不会再感到孤独，如果维持世界秩序是她的宿命，那么她期望在这场旅途中找到只属于自己的存在的意义。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"With the birth of the tablet, the girl's left eye bears the mark of a saint, which is one of the last four high priests and the inheritance of the will of the users of dark magic.","Saintess Shin, who was raised as a saint from childhood, shoulders the responsibility of saving the world. She has been taught since she was a child that she can't be spirited. Her playmates of the same age are also told by her elders that they can't be easily approached. She is stronger than others. She is a star that can't catch up with others.","Now, she will not feel lonely any more. If maintaining world order is her destiny, she hopes to find her own meaning in this journey",,,,,,,,,
3,{五百年前的“灭魔之战”结束后，克丽奥娜常常感到无聊，虽然17岁小姑娘的模样总让人忘记她拥有多么可怕的力量，但作为兽人族元老之一，她做事雷厉风行说一不二，族内年轻的兽人都害怕她，除了海芙约特。},"{“克丽奥娜，我刚学了个新招式，来试试吗？” 
她眼皮都没抬一下地回答道：“不要，无聊。”
晚辈中只有海芙约特会对她直呼其名，说什么可以拉近彼此关系，真是无礼，不过算了，看在她是晚辈的份上就不跟她计较了。}","{“这次这个我保证超厉害的！”说完，她用着不知道在哪儿学的招式，一斧子毫不留情地劈了过来。
克丽奥娜抬手轻轻挡了挡。哼，还行吧，比上次有进步，她暗暗想，但这并不妨碍她口是心非：“就这？别给我们兽人族丢脸了。”
“诶？我还以为很厉害呢，嘿嘿，不愧是克丽奥娜。”}",{克丽奥娜看着海芙约特傻笑的样子，突然觉得不那么无聊了。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Since the end of the ""battle of demons"" five hundred years ago, Cliodna often feels bored. Although the appearance of a 17-year-old girl always makes people forget how terrible she has power, as one of the veterans of the orcs, she does things with great vigour, and the young orcs in the orcs are afraid of her, except Herfjoture.","""Cliodna, I just learned a new move. Want to try it out?""
Without even lifting her eyelids, she replied, ""No, boring.""
Among the younger generation, only Herfjotur would address her so directly, claiming it could bring them closer. It was quite rude, but never mind—she would let it slide since Herfjotur was a junior.","""This time, I promise it's super amazing!"" After saying that, she swung her axe mercilessly with a move she had learned who-knows-where.
Cliodna raised her hand and blocked it lightly. Hmph, not bad, she thought to herself, better than last time. But that didn't stop her from saying one thing while meaning another: ""Is that it? Don't embarrass our beastmen race.""
""Eh? I thought it was pretty good, hehe. As expected of Cliodna.""","As Cliodna watched Herfjotur's silly grin, she suddenly felt that things weren't so boring after all.",,,,,,,,
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
6,"{德莉法希望妹妹能永远单纯善良下去。
3岁的妹妹或许并没有记忆，但5岁的她忘不了和妹妹流落街头受尽白眼，连续饿了三天肚子，那时候她就想，以后无论如何也要和妹妹过上幸福生活。}","{幸运的是她遇见了好心的孤儿院院长巴特利特。
那时候的妹妹过得似乎很快乐，日子平静而幸福，但她总觉得这还远远不够，她总在渴望着拥有更多。}",{出事的那天，妹妹像以往的无数个日子一样拉着她去山上采野果，傍晚又懒懒地赖着不想走，但没想到的是回来的时候整个村庄已经不复存在。当平静被打破，一切都那么措手不及。},{她只能带着妹妹继续流浪，最后请求魔法学院收留。她如愿的跟妹妹住进了大房子，并跟着魔法学院的西尔芙学习了有关风的魔法，尽管妹妹一如既往地撒娇胡闹，但她总感觉妹妹变了，或许等她强大到无往不利的时候，就能再次见到妹妹无忧无虑的笑容了吧。},0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Derifa hoped that her younger sister could remain pure and kind forever.
Her 3-year-old sister might not have any memories, but at 5 years old, Derifa could never forget the days when they were homeless on the streets, enduring scorn and going hungry for three days straight. Back then, she vowed that no matter what, she would ensure a happy life for her sister.","Fortunately, she met the kind orphanage director, Bartlett.
At that time, her sister seemed to be living happily, with peaceful and content days, but she always felt it was far from enough. She was always yearning for more.","On the day of the incident, her sister, as she had done on countless days before, dragged her to the mountains to pick wild fruits. In the evening, she lazily lingered, not wanting to leave. But what they didn't expect was that when they returned, the entire village was gone. When peace was shattered, everything happened so suddenly.","She had no choice but to continue wandering with her sister, eventually seeking refuge at the magic academy. She got her wish and moved into a large house with her sister, learning wind magic from Sylph at the academy. Although her sister was as mischievous and playful as ever, she couldn't shake the feeling that her sister had changed. Perhaps when she became powerful enough to overcome any obstacle, she would see her sister's carefree smile again.",,,,,,,,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
