Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
伴随着封灵碑诞生的女孩，左眼有着圣女的印记，那是上一任四大祭司之一——暗魔法使用者意志的传承。,伴隨著封靈碑誕生的女孩，左眼有著聖女的印記，那是上一任四大祭司之一，黑暗魔法使用者意誌的傳承。,"With the birth of the tablet, the girl's left eye bears the mark of a saint, which is one of the last four high priests and the inheritance of the will of the users of dark magic.",封霊碑の誕生に伴って、左の目は聖女の印を持っています。それは前の四大祭司の一つで、暗黒魔法の使用者の意志の伝承です。,봉령비와 함께 태어난 여자아이는 왼쪽 눈에 성녀의 흔적이 있는데 그것은 지난 4 대 사제 중 한명이었고 어둠의 마법 사용자의 의지가 전승되었다.
从小被当作圣女培养的辛身上肩负着救世的重任，自懂事起便被教育不能意气用事，同龄的玩伴也被长辈告知不能轻易接近，“强大”于别人而言是望尘莫及的星星，于她，则是如影随形的禁锢。,從小被當做聖女培養的辛身上肩負著救世的重任，自懂事起便被教育不能意氣用事，同齡的玩伴也被長輩告知不能輕易接近，強大於別人而言是望塵莫及的星星，於她，則是如影隨形的禁錮。,"Saintess Shin, who was raised as a saint from childhood, shoulders the responsibility of saving the world. She has been taught since she was a child that she can't be spirited. Her playmates of the same age are also told by her elders that they can't be easily approached. She is stronger than others. She is a star that can't catch up with others.",幼い頃から聖女として育てられたシンは、救世の重責を背負っていました。物心がついた時から、衝動的に行動してはいけないと教えられ、同世代の遊び仲間も、簡単に近づいてはいけないと大人たちに言われていました。「強さ」は他の人にとっては手の届かない星ですが、彼女にとっては常に付きまとう束縛です。,어렸을 때부터 성녀로 키워진 신은 세상을 구하는 임무를 짊어지고 철이 들었을 때부터 감정적으로 일을 처리하지 못하게 교육을 받았다. 동갑 내기 친구들도 어른들에게 쉽게 다가갈 수 없다는 통보를 받았고 남들에게는 따라갈 수 없는 별이 되었다. 그녀에게는 그림자처럼 갇혀 있었다.
如今，她已不会再感到孤独，如果维持世界秩序是她的宿命，那么她期望在这场旅途中找到只属于自己的存在的意义。,如今，她已不會再感到孤獨，如果維持世界秩序是她的宿命，那麽她期望在這場旅途中找到只屬於自己的活著的意義。,"Now, she will not feel lonely any more. If maintaining world order is her destiny, she hopes to find her own meaning in this journey",今、彼女はもう孤独を感じられなくなりました。もし世界の秩序を維持するのが彼女の宿命なら、彼女はこの旅の中で自分だけの生きがいを見つけたいです。,이제 그녀는 더이상 외롭지 않게 되었다. 세계질서를 유지하는 것이 그의 숙명이라면 이번 여행에서 자신만의 삶의 의미를 찾고 싶다.
辛开始尝试在使命之外寻找答案。她独自漫步在荒野中，感受风的气息，聆听大地的低语。她发现，世界并非只有秩序与责任，还有无数细微的美好。,辛開始嘗試在使命之外尋找答案。她獨自漫步在荒野中，感受風的氣息，聆聽大地的低語。她發現，世界並非只有秩序與責任，還有無數細微的美好。,"Shin began to seek answers beyond her mission. She wandered alone in the wilderness, feeling the breath of the wind and listening to the whispers of the earth. She discovered that the world is not just about order and duty, but also countless subtle beauties.",シンは使命の外に答えを見つけようとし始めました。彼女は荒野を一人で歩き、風の息吹を感じ、大地のささやきに耳を傾けました。彼女は、世界が秩序と責任だけではなく、無数の微妙な美しさもあることに気づきました。,신은 사명 외에 답을 찾기 시작했습니다. 그녀는 황야를 홀로 걸으며 바람의 숨결을 느끼고 대지의 속삭임을 들었습니다. 그녀는 세상이 질서와 책임만이 아니라 무수히 많은 미묘한 아름다움도 있다는 것을 발견했습니다.
她开始思考，自己的力量究竟能为世界带来什么。她不再将使命视为一种负担，而是将其视为一种探索。每一次施展魔法，她都会思考其中的意义；每一次完成任务，她都会反思自己的初衷。,她開始思考，自己的力量究竟能為世界帶來什麼。她不再將使命視為一種負擔，而是將其視為一種探索。每一次施展魔法，她都會思考其中的意義；每一次完成任務，她都會反思自己的初衷。,"She began to ponder what her power could truly bring to the world. She no longer saw her mission as a burden, but rather as an exploration. Every time she cast a spell, she contemplated its meaning; every time she completed a task, she reflected on her original intentions.",彼女は、自分の力が世界に何をもたらすことができるのかを考え始めました。彼女は使命を負担ではなく、探求として見るようになりました。魔法を使うたびに、その意味を考え、任務を完了するたびに、自分の初心を振り返りました。,"그녀는 자신의 힘이 세상에 무엇을 가져다줄 수 있는지 생각하기 시작했습니다. 그녀는 사명을 부담으로 보지 않고 탐구로 여기게 되었습니다. 마법을 사용할 때마다 그 의미를 생각하고, 임무를 완수할 때마다 자신의 초심을 되돌아보았습니다."
她逐渐明白，真正的强大并非仅仅是为了维持秩序，而是为了在秩序中找到属于自己的位置。,她逐漸明白，真正的強大並非僅僅是為了維持秩序，而是為了在秩序中找到屬於自己的位置。,"She gradually came to understand that true strength is not merely about maintaining order, but about finding her own place within that order.",彼女は次第に、真の強さは単に秩序を維持するためではなく、その秩序の中で自分の居場所を見つけることだと理解するようになりました。,"그녀는 점차 진정한 강함이 단순히 질서를 유지하는 것이 아니라, 그 질서 속에서 자신의 위치를 찾는 것임을 깨달았습니다."
五百年前的“灭魔之战”结束后，克丽奥娜常常感到无聊，虽然17岁小姑娘的模样总让人忘记她拥有多么可怕的力量，但作为兽人族元老之一，她做事雷厉风行说一不二，族内年轻的兽人都害怕她，除了海芙约特。,"自五百年前的""滅魔之戰""結束後，克麗奧娜常常感到無聊，雖然17歲小姑娘的模樣總讓人忘記她擁有多麽可怕的力量，但作為獸人族元老之一，她做事雷厲風行說一不二，族內年輕的獸人都害怕她，除了海芙約特。","Since the end of the ""battle of demons"" five hundred years ago, Cliodna often feels bored. Although the appearance of a 17-year-old girl always makes people forget how terrible she has power, as one of the veterans of the orcs, she does things with great vigour, and the young orcs in the orcs are afraid of her, except Herfjoture.",五百年前の「滅び魔の戦い」が終わってから、クレオナはいつも退屈しています。17歳の女の子の姿はいつも彼女がどれほど恐ろしい力を持っているか忘れさせられますが、獣人族の元老の一人として、彼女は仕事をしています。,"500년 전 '멸마의 전쟁' 이 끝난 후 크리오나는 늘 지루함을 느꼈다. 17 세 소녀가 얼마나 무서운 힘을 갖고 있는지 잊게 만드는 17 세 소녀였지만, 루툼족 원로 중 한 명으로 그녀가 일을 할 때는 헤프요테를 제외한 수인들은 그녀를 두려워했다."
"“克丽奥娜，我刚学了个新招式，来试试吗？” 
她眼皮都没抬一下地回答道：“不要，无聊。”
晚辈中只有海芙约特会对她直呼其名，说什么可以拉近彼此关系，真是无礼，不过算了，看在她是晚辈的份上就不跟她计较了。","""克麗奧娜，我剛學了個新招式，來試試嗎?"" 
她眼皮都沒擡一下地回答道：""不要，無聊。""晚輩中只有海芙約特會對她直呼其名，說什麽可以拉近彼此關系，真是無禮，不過算了，看在她是晚輩的份上就不跟她計較了。","""Cliodna, I just learned a new move. Want to try it out?""
Without even lifting her eyelids, she replied, ""No, boring.""
Among the younger generation, only Herfjotur would address her so directly, claiming it could bring them closer. It was quite rude, but never mind—she would let it slide since Herfjotur was a junior.","「クレオナ、新しい技を覚えたんだけど、試してみない？」
彼女はまぶたも上げずに答えた。「いや、つまらない。」
後輩の中で、ヘフィヨルドだけが彼女を名前で呼び、お互いの距離を縮められると言っていた。本当に失礼なことだが、まあ、後輩だから大目に見てやろう。","""크리오나, 방금 새로운 기술을 배웠는데, 한번 해볼래?""
그녀는 눈도 깜빡하지 않고 대답했다. ""싫어, 지루해.""
후배 중에서 허프조투어만이 그녀를 이름으로 부르며 서로의 관계를 가깝게 할 수 있다고 말했다. 정말 무례한 행동이지만, 어쨌든 후배니까 넘어가주자."
"“这次这个我保证超厉害的！”说完，她用着不知道在哪儿学的招式，一斧子毫不留情地劈了过来。
克丽奥娜抬手轻轻挡了挡。哼，还行吧，比上次有进步，她暗暗想，但这并不妨碍她口是心非：“就这？别给我们兽人族丢脸了。”
“诶？我还以为很厉害呢，嘿嘿，不愧是克丽奥娜。”","""這次這個我保證超厲害的!""說完，她用著不知道在哪兒學的招式，一斧子毫不留情地劈了過來。
克麗奧娜擡手輕輕擋了擋。哼，還行吧，比上次有進步，她暗暗想，但這並不妨礙她口是心非，""就這?別給我們獸人族丟臉了。""
""誒?我還以為很厲害呢，嘿嘿，不愧是克麗奧娜。""","""This time, I promise it's super amazing!"" After saying that, she swung her axe mercilessly with a move she had learned who-knows-where.
Cliodna raised her hand and blocked it lightly. Hmph, not bad, she thought to herself, better than last time. But that didn't stop her from saying one thing while meaning another: ""Is that it? Don't embarrass our beastmen race.""
""Eh? I thought it was pretty good, hehe. As expected of Cliodna.""","「今度のは絶対すごいから！」そう言って、彼女はどこで覚えたかわからない技で、斧を容赦なく振り下ろした。
クレオナは手を上げて軽くブロックした。ふん、まあまあだな、前回よりは進歩していると彼女は心の中で思ったが、それでも口では「これだけ？獣人族の恥にならないでくれよ」と言った。
「え？すごいと思ったのに。へへ、さすがクレオナだね。」","""이번 건 정말 대단할 거야!""라고 말하고, 그녀는 어디서 배웠는지 모를 기술로 도끼를 가차 없이 휘둘렀다.
크리오나는 손을 들어 가볍게 막았다. 흠, 괜찮네, 지난번보다는 나아졌다고 그녀는 속으로 생각했지만, 입으로는 ""이게 다야? 우리 수인족 체면 구겨지게 하지 마.""라고 말했다.
""어? 나는 대단하다고 생각했는데. 헤헤, 역시 크리오나야."""
克丽奥娜看着海芙约特傻笑的样子，突然觉得不那么无聊了。,克麗奧娜看著海芙約特傻笑的樣子，突然覺得不那麽無聊了。,"As Cliodna watched Herfjotur's silly grin, she suddenly felt that things weren't so boring after all.",クレオナはヘフィヨルドのバカ笑いを見て、突然退屈ではなくなったと感じた。,"크리오나는 허프조투어의 어리석은 미소를 보며, 갑자기 그렇게 지루하지 않다는 것을 느꼈다."
