Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
五百年前的“灭魔大战”之后，库洛兰德大陆在国王的治理之下，繁荣昌盛，各个种族和平相处。现如今魔族首领卷土重来，发动暴乱，囚禁国王。在星空预言中，唯有各大领主齐心协力，化作“破晓之剑”，才能成功击退魔族，恢复大陆秩序......,五百年前的“滅魔大戰”之後，庫洛蘭德大陸在國王的治理之下，繁榮昌盛，各個種族和平相處。現如今魔族首領捲土重來，發動暴亂，囚禁國王。在星空預言中，唯有各大領主齊心協力，化作“破曉之劍”，才能成功擊退魔族，恢復大陸秩序......,"After the Great Demon-Slaying War five hundred years ago, the continent of Krorand flourished under the rule of the king, with all races living in peace. Now, the demon lord has returned, inciting chaos and imprisoning the king. According to the prophecy of the stars, only by uniting the great lords to form the Dawnbreaker Sword can they successfully repel the demons and restore order to the continent...",五百年前の「滅魔の戦い」の後、クロランド大陸は王の治世のもとで繁栄し、すべての種族が平和に共存していました。しかし今、魔族の首領が再び現れ、暴動を起こし、王を囚われの身としました。星空の予言によれば、各大領主が力を合わせて「夜明けの剣」となることで、魔族を撃退し、大陸の秩序を回復できるのです......,"500년 전 ""대마족 전쟁” 이후, 크로랜드 대륙은 왕의 통치 아래 번영을 누렸고, 모든 종족이 평화롭게 공존했습니다. 그러나 이제 마족의 수장이 다시 나타나 폭동을 일으키고 왕을 감금했습니다. 별의 예언에 따르면, 대영주들이 힘을 합쳐 ""새벽의 검”이 되어야만 마족을 물리치고 대륙의 질서를 회복할 수 있습니다......"
"你来到了一个偏僻的村庄，这里将成为你重新开始的起点。
通过招募村民、建设基础设施，逐渐恢复村庄的生机。","你來到了一個偏僻的村莊，這裡將成為你重新開始的起點。
通過招募村民、建設基礎設施，逐漸恢復村莊的生機。","You have arrived at a remote village, which will become your fresh starting point.
By recruiting villagers and constructing infrastructure, you'll gradually restore vitality to the settlement.","辺境の村に辿り着いた。ここが新たな出発点となる。
村民を募集し、インフラを建設することで、徐々に村に活気を取り戻そう。","외딴 마을에 도착했다. 여기가 새 출발의 기점이 될 것이다.
주민을 모집하고 기반 시설을 건설하며 점차 마을에 활력을 되찾을 수 있다."
村民们投身军营，经过训练，一支强大的军队逐渐成型。怀揣同样的信念，人们相聚于此，为了终结混乱、守护家园、开创新时代。全力以赴，誓要书写不朽传奇。当战鼓擂响，这支由梦想与信念凝聚的军队，将用胜利谱写新的篇章。集结的号角，不仅召唤战士，更唤醒了希望.....,村民們投身軍營，經過訓練，一支強大的軍隊逐漸成形。懷抱同樣的信念，人們相聚於此，為了終結混亂、守護家園、開創新時代。全力以赴，誓要書寫不朽傳奇。當戰鼓擂響，這支由夢想與信念凝聚的軍隊，將以勝利譜寫新的篇章。集結的號角，不僅召喚戰士，更喚醒了希望.....,"The villagers joined the military camp, and after training, a powerful army gradually took shape. With the same belief, people gathered here to end the chaos, protect their homes, and create a new era. They went all out and vowed to write an immortal legend. When the drums of war sounded, this army, united by dreams and beliefs, would write a new chapter with victory. The rallying horn not only summoned the soldiers, but also awakened hope...",村人たちは軍の陣営に加わり、訓練を経て徐々に強力な軍隊が形成されていった。同じ信念を持って、人々は混乱を終わらせ、故郷を守り、新しい時代を迎えるためにここに集まります。全力を尽くし、不滅の伝説を書き記すことを誓います。戦争の太鼓が鳴ると、夢と信念で結ばれたこの軍隊は勝利とともに新たな章を書き記すだろう。集結の角笛は戦士を召喚するだけでなく、希望も呼び起こします…,"마을 사람들은 군사 캠프에 합류했고, 훈련을 거쳐 점차 강력한 군대가 형성되었습니다. 같은 신념을 가지고 사람들은 이곳에 모여 혼란을 끝내고, 집을 지키고, 새로운 시대를 엽니다. 전력을 다해 불멸의 전설을 쓰겠다고 맹세하세요. 전쟁의 북소리가 울리면, 꿈과 신념으로 단결된 이 군대는 승리로 새로운 장을 쓸 것입니다. 군집의 나팔은 전사들을 소집할 뿐만 아니라, 희망을 일깨워줍니다…"
"村庄逐渐繁荣,农业、工业、商业都得到了迅速发展，人民生活水平显著提高。丰富的资源储备成为推动社会发展的第一步，为村庄的崛起奠定了坚实基础。收集情报，了解叛军的动向和大陆的局势尤为重要，是为未来的决策提供关键的支持。在这片充满希望的土地上，繁荣与稳定正逐步成为现实......","村莊逐漸繁榮,農業、工業、商業都得到了迅速發展，人民生活水準顯著提高。豐富的資源儲備成為推動社會發展的第一步，為村莊的崛起奠定了堅實基礎。收集情報，了解叛軍的動向和大陸的情況尤其重要，是為未來的決策提供關鍵的支持。在這片充滿希望的土地上，繁榮與穩定正逐步成為現實......","The village gradually prospers, agriculture, industry, and commerce have all developed rapidly, and people's living standards have improved significantly. The rich resource reserves have become the first step in promoting social development, laying a solid foundation for the rise of the village. It is particularly important to collect intelligence and understand the movements of the rebels and the situation on the continent, which provides key support for future decision-making. In this land full of hope, prosperity and stability are gradually becoming a reality...",村は次第に繁栄し、農業、工業、商業が急速に発展し、人々の生活水準は大幅に向上しました。豊富な資源の埋蔵は社会の発展を促進する第一歩となり、村の発展のための強固な基盤を築きました。特に、反政府勢力の動向や中国本土の状況に関する情報を収集し、把握することは、将来の意思決定に重要な支援となるため重要です。希望に満ちたこの地では、繁栄と安定が徐々に現実のものとなりつつあります…,"마을은 점차 번영하였고, 농업, 공업, 상업이 급속히 발전하였으며, 사람들의 생활 수준도 크게 향상되었습니다. 풍부한 자원은 사회 발전을 촉진하는 첫걸음이 되었고, 마을이 발전할 수 있는 튼튼한 토대를 마련해 주었습니다. 특히 반군의 움직임과 본토 상황에 대한 정보를 수집하고 파악하는 것이 중요한데, 이는 향후 의사결정에 중요한 지원을 제공하기 때문이다. 희망과 번영, 안정이 가득한 이 땅에는 점차 현실이 되어가고 있습니다."
文明之光，随着经济的繁荣而愈发耀眼。文化与科技迎来了空前的发展，人们在不断探索未知领域的过程中，推动了文明的进步。知识的积累与创新的火花交织，点亮了前行的道路。这片大陆，正以不可阻挡的姿态迈向新的高度，而文明的光芒，将照亮未来的每一个角落......,文明之光，隨著經濟的繁榮而愈發耀眼。文化與科技迎來了空前的發展，人們在不斷探索未知領域的過程中，推動了文明的進步。知識的累積與創新的火花交織，點亮了前進的道路。這片大陸，正以不可阻擋的姿態邁向新的高度，而文明的光芒，將照亮未來的每個角落......,"The light of civilization is becoming more and more dazzling with the prosperity of the economy. Culture and technology have ushered in unprecedented development. In the process of constantly exploring unknown areas, people have promoted the progress of civilization. The accumulation of knowledge and the spark of innovation are intertwined, lighting up the way forward. This continent is moving towards new heights with an unstoppable attitude, and the light of civilization will illuminate every corner of the future...",経済が繁栄するにつれて、文明の光はより明るく輝きます。文化と技術は前例のない発展を遂げ、人々は未知の領域を絶えず探求する過程で文明の進歩を促進してきました。知識の蓄積とイノベーションのひらめきが絡み合い、前進する道を照らします。この大陸は止めようもなく新たな高みへと進み、文明の光が未来の隅々まで照らすだろう…,"경제가 번영할수록 문명의 빛은 더욱 밝게 빛납니다. 문화와 기술은 전례 없는 발전을 이루었고, 사람들은 끊임없이 알려지지 않은 영역을 탐험하면서 문명의 진보를 촉진해 왔습니다. 지식의 축적과 혁신의 불꽃은 서로 얽혀 미래로 나아갈 길을 밝혀줍니다. 이 대륙은 멈출 수 없이 새로운 높이를 향해 전진하고 있으며, 문명의 빛이 미래의 모든 구석을 밝힐 것입니다…"
叛军的势力如野火般蔓延，只守护一方之地已不足以拯救整个大陆。要想保护自己的国家和人民，必须拥有更强的力量，必须主动出击。握紧手中的剑柄，点燃心中的火焰，带领军队踏上征程吧！每一步都为了结混乱，每一战都为了迎接黎明，雄心燃烧，终将照亮胜利的道路......,叛軍的勢力如野火般蔓延，只守護一方之地已不足以拯救整個大陸。要保護自己的國家和人民，必須擁有更強的力量，必須主動出擊。握緊手中的劍柄，點燃心中的火焰，帶領軍隊踏上旅程吧！每一步都為了結混亂，每一戰都為了迎接黎明，雄心燃燒，終將照亮勝利的道路......,"The rebels are spreading like wildfire. It is no longer enough to protect only one side of the country. To protect your country and people, you must have stronger power and take the initiative. Hold the hilt of the sword tightly, ignite the fire in your heart, and lead the army on the journey! Every step is to end the chaos, every battle is to welcome the dawn, the burning ambition will eventually illuminate the road to victory...",反乱軍は野火のように広がり、1つの地域を守るだけでは大陸全体を救うのにもはや十分ではありません。国と国民を守りたいのであれば、もっと強い力を持ち、率先して行動しなければなりません。剣の柄をしっかりと握り、心に火を灯し、軍隊を率いて旅に出ましょう！あらゆる一歩は混乱を終わらせるためのものであり、あらゆる戦いは夜明けを迎えるためのものであり、燃えるような野望は最終的に勝利への道を照らすでしょう…,"반군은 들불처럼 퍼져 나가고 있으며, 한 지역을 방어하는 것만으로는 더 이상 대륙 전체를 구할 수 없게 되었습니다. 우리가 나라와 국민을 보호하고자 한다면, 우리는 더 강력한 힘을 가져야 하며, 주도권을 잡아야 합니다. 칼자루를 단단히 잡고, 마음속에 불을 피우고, 군대를 이끌고 여행을 떠나세요! 모든 발걸음은 혼란을 끝내기 위한 것이고, 모든 전투는 새벽을 맞이하기 위한 것이며, 타오르는 야망은 결국 승리로 가는 길을 밝힐 것이다…"
战争一触即发，军队如雷霆般席卷战场，展现出惊人的战斗力。出色的指挥和战士们无惧生死的英勇，使得叛军节节败退。荣耀如星辰般闪耀，照亮了每一片曾被黑暗笼罩的土地。剑锋所指，便是胜利与希望的方向......,戰爭一觸即發，軍隊如雷霆般席捲戰場，展現出驚人的戰鬥力。出色的指揮和戰士們無懼生死的英勇，使得叛軍節節敗退。榮耀如星辰般閃耀，照亮了每一片曾被黑暗籠罩的土地。劍鋒所指，便是勝利與希望的方向......,"The war was about to break out. The army swept across the battlefield like thunder, showing amazing fighting power. Excellent command and the bravery of the soldiers who were not afraid of life and death made the rebels retreat step by step. Glory shone like a star, illuminating every piece of land that was once shrouded in darkness. Wherever the sword pointed, it was the direction of victory and hope...",戦争が勃発しようとしており、軍隊は雷鳴のように戦場を駆け抜け、驚くべき戦闘力を発揮した。優れた指揮と兵士たちの恐れを知らない勇気が反乱軍の連続的な敗北をもたらした。その栄光は星のように輝き、かつては闇に包まれていたすべての地を照らします。剣が指す先は、勝利と希望の方向です…,"전쟁이 발발하려 하고 있었고 군대는 천둥처럼 전장을 휩쓸며 놀라운 전투력을 보여주었습니다. 뛰어난 지휘와 군인들의 두려움 없는 용기로 인해 반군은 계속 패배했습니다. 그 영광은 별처럼 빛나, 한때 어둠에 가려져 있던 모든 땅을 밝힙니다. 검이 가리키는 곳이면 어디든 승리와 희망의 방향이다…"
战火带来的破坏与人民的痛苦，仅凭一己之力已难以拯救大陆。当再次握紧武器，天使的战士之魂便重获新生。战意的燃烧，明白使命不仅是战斗，更是终结苦难，守护希望。这一刻，改变大陆命运的重任交由你的手中......,戰火帶來的破壞與人民的痛苦，僅憑一己之力已難以拯救大陸。當再次握緊武器，天使的戰士之魂便重獲新生。戰意的燃燒，明白使命不只是戰鬥，更是終結苦難，守護希望。這一刻，改變大陸命運的重任交由你的手中......,"The destruction brought by the war and the suffering of the people, it is difficult to save the continent by one's own strength. When you hold the weapon tightly again, the warrior soul of the angel will be reborn. The burning will to fight, understand that the mission is not only to fight, but also to end suffering and protect hope. At this moment, the responsibility of changing the fate of the continent is in your hands...",戦争によってもたらされた破壊と人々の苦しみにより、自らの力で大陸を救うことは困難になっています。天使が再び武器を握ると、天使の戦士の魂が生まれ変わります。燃えるような闘志とは、私たちの使命は闘うことだけではなく、苦しみを終わらせ、希望を守ることでもあると理解していることを意味します。今、大陸の運命を変える責任はあなたの手の中にあります…,"전쟁이 가져온 파괴와 국민들의 고통으로 인해 우리 스스로의 노력으로 대륙을 구하는 것은 어렵습니다. 천사가 다시 무기를 잡으면 천사의 전사의 영혼이 다시 태어난다. 싸우고자 하는 불타는 의지는 우리의 사명이 싸우는 것뿐만 아니라 고통을 끝내고 희망을 지키는 것도 포함한다는 것을 의미합니다. 지금, 대륙의 운명을 바꿀 책임은 여러분의 손에 달려 있습니다…"
精心策划，集结力量，瞄准关键之地，一举夺下。每一步行动都经过深思熟虑，每一场战斗都关乎未来命运。当战鼓擂响，属于我们的旗帜插上城墙，失地重归。这一战，是属于自己的传奇......,精心策劃，集結力量，瞄準關鍵之地，一舉奪下。每一步行動都經過深思熟慮，每一場戰鬥都關乎未來命運。當戰鼓擂響，屬於我們的旗幟插上城牆，失地重歸。這一戰，是屬於自己的傳奇......,"Carefully plan, gather strength, aim at the key place, and seize it in one fell swoop. Every step is carefully considered, and every battle is related to the future destiny. When the drums of war sound, our flags are planted on the city walls, and the lost land is returned. This battle is your own legend...",慎重に計画を立て、戦力を集め、重要な場所を狙い、一撃で占領しましょう。あらゆる動きは慎重に検討され、あらゆる戦いが将来の運命を決定します。戦争の太鼓が鳴り響くと、我々の旗が城壁に掲げられ、失われた土地は回復されました。この戦いはそれ自体が伝説です…,"신중하게 계획을 세우고, 힘을 모으고, 주요 위치를 겨냥하여 단번에 점령하세요. 모든 움직임은 신중하게 고려되며, 모든 전투는 미래의 운명을 결정합니다. 전쟁의 북소리가 울리자 우리의 깃발이 성벽에 게양되었고, 잃어버린 땅은 회복되었습니다. 이 전투는 그 자체로 전설이다..."
真正的胜利不仅仅是战场上的凯旋，在动荡之后建立起稳固的根基也值得考量。每一座新收复的城池，每一片新纳入版图的土地，都需要精心治理。将混乱的局势转化为有序的规则，让人民在安稳中看到希望......,真正的勝利不只是戰場上的凱旋，在動盪之後建立穩固的根基也值得考慮。每一座新收復的城池，每一片新納入版圖的土地，都需要精心治理。將混亂的局勢轉化為有序的規則，讓人民在安穩中看到希望…,"True victory is not just about triumph on the battlefield, but also about building a solid foundation after the turmoil. Every newly recovered city and every piece of land newly included in the territory needs to be carefully governed. Transform the chaotic situation into orderly rules, so that the people can see hope in stability...",真の勝利とは、戦場での勝利だけではなく、混乱の後に強固な基盤を築くことも考慮する価値があります。新たに回復した都市や新たに編入された土地はすべて、注意深く統治される必要があります。混沌とした状況を秩序あるルールに変え、人々が安定の中に希望を見出せるように…,진정한 승리는 전장에서의 승리만이 아닙니다. 격동 이후에 튼튼한 기반을 구축하는 것도 고려할 만한 가치가 있습니다. 새로 회복된 도시와 새로 통합된 토지는 모두 주의 깊게 관리되어야 합니다. 혼란스러운 상황을 질서 있는 규칙으로 바꾸어 사람들이 안정 속에서 희망을 볼 수 있게 해주세요…
