Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
市政厅闯入一位不速之客，此刻的你正趴在桌子上小憩。,市政廳闖入一位不速之客，此刻的你正趴在桌子上小憩。,"An uninvited guest barged into the City Hall, and at this moment you are taking a nap on the desk.",市役所に不速の客が闖入し、今まさにあなたは机の上でうたた寝をしている。,"시청에 불속의 손님이 침입했고, 지금 당신은 책상 위에서 낮잠을 자고 있다."
你嗅到了一丝淡淡的香味，很好闻的气息，让你感到安心。,你嗅到了一絲淡淡的香味，很好聞的氣息，讓你感到安心,"You catch a faint, pleasant scent that makes you feel at ease.",ほのかな香りを感じる、とてもいい匂いで、安心する。,"당신은 은은한 향기를 맡았다. 매우 좋은 냄새로, 당신을 안심하게 한다."
城主大人真的很辛苦呢，这座城市有城主大人在，真好。,城主大人真的很辛苦呢，這座城市有城主大人在，真好。,"Lord, you really work so hard. It's wonderful that this city has you.",城主様は本当にお疲れですね。この街に城主様がいてくれて、本当に良かった。,영주님 정말 고생이 많으시네요. 이 도시에 영주님이 계셔서 정말 다행이에요.
你睁开眼睛，转眼就看到了那道倩影。,你睜開眼睛，轉眼就看到了那道倩影,You open your eyes and immediately see that graceful figure.,目を開けると、すぐにあの美しい姿が目に入る。,"당신이 눈을 뜨자, 바로 그 아름다운 모습이 보인다."
你来了啊，实在抱歉，最近实在是太忙了。,你來了啊，實在抱歉，最近實在是太忙了。,"So you're here. I'm really sorry, I've been so busy lately.",来てくれたんだね、本当にごめん、最近忙しすぎて。,"왔구나, 정말 미안해. 요즘 너무 바빴어."
城主大人，我们的事情是小事，居民的事才是大事。,城主大人，我們的事情是小事，居民的事才是大事。,"Lord, our matters are trivial; the residents' affairs are what truly matter.",城主様、私たちのことは小さなことです。住民のことが大事です。,"영주님, 저희 일은 사소한 일이고, 주민들의 일이 큰일입니다."
看起来，你对我的评价很高。,看起來，你對我的評價很高。,It seems you think very highly of me.,どうやら、あなたは私を高く評価しているようだね。,"보아하니, 당신은 나에 대한 평가가 높은가 보군요."
是啊，现在的世界，兽人，精灵，人类能够这样和平的生活在一起。,是啊，現在的世界，獸人、精靈、人類能夠這樣和平的生活在一起。,"Yes, in this world now, orcs, elves, and humans can live together so peacefully.",そうだね、今の世界では、獸族、エルフ、人間がこんなにも平和に暮らせている。,"그래요, 지금 세계에서는 오크, 엘프, 인간이 이렇게 평화롭게 함께 살 수 있어요."
城主功不可没呢。,城主功不可沒呢。,The Lord's contribution is indispensable.,城主様の功績は計り知れないね。,영주님의 공로가 크죠.
太夸张了，而且这不止是我的功劳。,太誇張了，而且這不止是我的功勞。,"That's an exaggeration, and it's not just my doing.",大げさだよ、それにこれは私だけの手柄じゃない。,"너무 과장됐어요, 게다가 이것은 제 공로만이 아닙니다."
这是大家一起努力的结果！！,這是大家一起努力的結果!!,This is the result of everyone's efforts!!,みんなで頑張った結果だよ!!,이것은 모두 함께 노력한 결과입니다!!
所以啊，我真的非常感谢大家。,所以啊，我真的非常感謝大家。,"So, I truly thank everyone from the bottom of my heart.",だからね、本当にみんなに感謝している。,"그러니까, 정말 모두에게 감사드려요."
城主大人实在是太可爱了。,城主大人實在是太可愛了。,"Lord, you are just too adorable.",城主様は本当にかわいすぎます。,영주님은 정말 너무 귀여우세요.
可爱？我和可爱怎么样都不搭边吧。,可愛？我和可愛怎麼樣都不搭邊吧。,"Adorable? I'm nothing like adorable, am I?",かわいい？私とかわいいなんて、まったく似合わないでしょ。,귀엽다고요? 저랑 귀여움은 전혀 어울리지 않잖아요.
笨蛋城主，可爱指的是：可以爱的人。,笨蛋城主，可愛指的是：可以愛的人。,"Silly Lord, ""cute"" here means: someone you can love.",バカ城主、かわいいって意味はね：愛せる人のことだよ。,"바보 영주님, 귀엽다는 뜻은: 사랑할 수 있는 사람이에요."
可以爱的人吗？,可以愛的人嗎？,Someone you can love?,愛せる人ですか？,사랑할 수 있는 사람이라고요?
你听到这句话，非常感动。,你聽到這句話，非常感動。,"Hearing those words, you are deeply moved.",その言葉を聞いて、あなたはとても感動する。,당신은 그 말을 듣고 매우 감동한다.
您总是这样，把功劳归功于大家。,您總是這樣，把功勞歸功於大家,"You always do this, giving all the credit to everyone else.",あなたはいつもそうやって、みんなに功績を帰すんだね。,당신은 항상 이렇게 공을 모두에게 돌리시네요.
我…我只是做了该做的事。,我…我只是做了該做的事。,I... I just did what I had to do.,私…私はただやるべきことをしただけです。,저… 저는 그저 해야 할 일을 했을 뿐입니다.
所以，今天请务必好好休息一下，城主大人。,所以，今天請務必好好休息一下，城主大人。,"So please, make sure to get some good rest today, Lord.",だから今日はどうかゆっくり休んでください、城主様。,"그러니 오늘은 꼭 푹 쉬세요, 영주님."
又在走神？市政厅的安全可是相当重要的。,又在走神？市政廳的安全可是相當重要的。,Daydreaming again? The security of the City Hall is extremely important.,またぼんやり？市役所の安全はとても重要ですよ。,또 딴생각? 시청의 안전은 상당히 중요합니다.
如果这里突然遇到袭击，你会优先保护文件，还是保护我这个城主。,如果這裡突然遇到襲擊，你會優先保護文件，還是保護我這個城主。,"If this place were suddenly attacked, would you prioritize protecting the documents, or protecting me, your Lord?",もしここが突然襲撃されたら、書類を優先して守る？それともこの城主を守る？,"만약 여기가 갑자기 습격당한다면, 당신은 서류를 우선 보호할 건가요, 아니면 이 영주인 저를 보호할 건가요?"
笨蛋城主，怎么可能有敌人直接出现在市政厅啊！,笨蛋城主，怎麼可能有敵人直接出現在市政廳啊！,"Silly Lord, how could an enemy just appear directly inside the City Hall!",バカ城主、どうして敵が直接市役所に現れるわけがあるんだ！,"바보 영주님, 어떻게 적이 직접 시청에 나타날 수 있겠어요!"
只是假设，概率为零不代表不会发生。,只是假設，概率為零不代表不會發生。,It's just a hypothesis. Probability being zero doesn't mean it can't happen.,ただの仮定だよ。確率がゼロでも起こらないとは限らない。,그냥 가정일 뿐이에요. 확률이 0이라고 해서 일어나지 않는 건 아니에요.
如果真的有敌人出现在市政厅的话，那恐怕整个城市都沦陷了。,如果真的有敵人出現在市政廳的話，那恐怕整個城市都淪陷了。,"If an enemy really did appear in the City Hall, then I'm afraid the entire city would have fallen.",もし本当に敵が市役所に現れたら、おそらく街全体が陥落しているだろう。,"만약 정말로 적이 시청에 나타난다면, 아마 도시 전체가 함락됐을 거예요."
我会努力的，保护这座城市的居民。,我會努力的，保護這座城市的居民。,I will do my best to protect the residents of this city.,私は頑張ります、この街の住民を守ります。,"저는 노력할게요, 이 도시의 주민들을 보호할게요."
你选了第三个选项呢。,你選了第三個選項呢。,You chose the third option.,あなたは三番目の選択肢を選びましたね。,당신은 세 번째 선택지를 골랐네요.
不过这个选项我相当满意，作为城主，我也会时刻把居民的安全放在第一位的。,不過這個選項我相當滿意，作為城主，我也會時刻把居民的安全放在第一位的。,"But I'm quite satisfied with that option. As Lord, I will always put the residents' safety first.",でもその選択肢はとても気に入りました。城主として、私も常に住民の安全を最優先にします。,하지만 그 선택지는 꽤 마음에 듭니다. 영주로서 저도 항상 주민의 안전을 최우선으로 할 것입니다.
嗯哼，那刚刚那个问题，好像表述的是，是更在乎文件还是更在乎城主？,嗯哼，那剛剛那個問題，好像表述的是，是更在乎文件還是更在乎城主？,"Hmm, that question just now seemed to ask: do you care more about the documents or more about the Lord?",うーん、さっきの質問は、書類を大事にするか、城主を大事にするか、ってことだったよね？,"음, 방금 그 질문은, 서류를 더 신경 쓰느냐, 영주를 더 신경 쓰느냐는 뜻이었나 봐요?"
一点小小的私心而已，答案其实并不重要。,一點小小的私心而已，答案其實並不重要。,Just a little selfishness. The answer actually doesn't matter.,ちょっとした私心です。答えは実は重要ではありません。,약간의 사심일 뿐이에요. 답은 사실 중요하지 않아요.
城主大人其实想要听，如果敌人出现在市政厅，我会保护城主大人。,城主大人其實想要聽，如果敵人出現在市政廳，我會保護城主大人。,"What you really wanted to hear was that if an enemy appears in the City Hall, I would protect you, Lord.",城主様は実は聞きたかったんでしょう、敵が市役所に現れたら、私が城主様を守るって。,"영주님은 사실 듣고 싶었던 거죠, 적이 시청에 나타나면 제가 영주님을 지키겠다고."
城主又不是手无缚鸡之力的史莱姆。,城主又不是手無縛雞之力的史萊姆。,The Lord is not some weak and powerless slime.,城主は非力なスライムじゃないんだから。,영주님은 힘 하나 없는 슬라임이 아니잖아요.
但有时候城主或许也需要被保护。,但有時候城主或許也需要被保護。,But sometimes even a Lord might need protection.,でも時には城主も守られる必要があるかもしれない。,하지만 가끔은 영주님도 보호받을 필요가 있을지도 몰라요.
我很强的，不然怎么能够成为城主呢？,我很強的，不然怎麼能夠成為城主呢？,"I'm very strong. Otherwise, how could I become Lord?",私はとても強いです。そうでなければどうして城主になれますか？,저는 매우 강해요. 그렇지 않으면 어떻게 영주가 되겠어요?
强和需要保护并不冲突，你总是把责任抗在自己肩上。,強和需要保護並不衝突，你總是把責任扛在自己肩上。,Being strong and needing protection aren't mutually exclusive. You always carry the responsibility on your own shoulders.,強いことと守られる必要があることは矛盾しません。あなたはいつも責任を一人で背負っています。,강함과 보호의 필요성은 충돌하지 않아요. 당신은 항상 책임을 자신의 어깨에 짊어지고 있어요.
职责所在，不敢怠慢。,職責所在，不敢怠慢。,It's my duty. I dare not be negligent.,職責の所在、怠るわけにはいきません。,직책상 소홀히 할 수 없습니다.
所以，偶尔依赖一下我们吧，大家都很关心你。,所以，偶爾依賴一下我們吧，大家都很關心你。,"So, rely on us sometimes. Everyone cares about you.",だから時々私たちに頼ってください。みんなあなたのことを心配しています。,그러니 가끔은 저희에게 의지하세요. 모두가 당신을 걱정하고 있어요.
谢谢。,謝謝。,Thank you.,ありがとう。,감사합니다.
不过，如果真的遇到危险，我还是会挡在您前面的。,不過，如果真的遇到危險，我還是會擋在您前面的。,"But if danger really comes, I will still stand in front of you.",でも、もし本当に危険があったら、私はやはりあなたの前に立ちはだかります。,"하지만 정말로 위험이 닥친다면, 저는 그래도 영주님 앞을 막을 것입니다."
其实，我想说的是，我会保护好大家对的。,其實，我想說的是，我會保護好大家的,"Actually, what I wanted to say is, I will protect everyone.",実は、私が言いたかったのは、みんなを守るよということです。,"사실, 제가 말하고 싶었던 것은, 제가 모두를 지키겠다는 거예요."
虽然来市政办公室约会非常的突兀，但你知道我是个工作狂。,雖然來市政辦公室約會非常突兀，但是你知道的我是個工作狂。,"Although it's very abrupt to have a date in the Municipal Office, you know I'm a workaholic.",政務室でデートするのはとても奇妙ですが、あなたも知っての通り私は仕事の鬼です。,"도시집무실에서 데이트하는 것은 매우 어색하지만, 알다시피 저는 워커홀릭이에요."
城主大人不必如此，能够看到城主大人这么努力，我也感到很欣慰。,城主大人不必如此，能夠看到城主大人這麼努力，我也感到很欣慰。,"Lord, you don't have to be like that. Seeing you work so hard also makes me feel very gratified.",城主様、そんなことしなくても大丈夫です。城主様がそんなに頑張っているのを見ると、私もとても嬉しくなります。,"영주님, 그렇게 하지 않으셔도 돼요. 영주님이 이렇게 노력하는 모습을 보니 저도 매우 기쁩니다."
欣慰，那是母亲看到孩子长大的感觉吗？,欣慰，那是母親看到孩子長大的感覺嗎？,Gratified? Is that the feeling a mother gets when she sees her child grow up?,嬉しい？それは母親が子供の成長を見る感じですか？,기쁘다는 건가요? 그건 어머니가 아이가 자라는 모습을 보는 느낌인가요?
哈哈，城主大人好奇怪的形容，准确的来说是高兴。,哈哈，城主大人好奇怪的形容，準確的來說是高興。,"Haha, Lord, that's a strange description. To be precise, it's happiness.",ははは、城主様は変な例え方をしますね。正確に言うと、嬉しいです。,"하하, 영주님 정말 이상한 표현이네요. 정확히 말하면 기쁨입니다."
很高兴这个城市能够有城主大人这样的奉献者。,很高興這個城市能夠有城主大人這樣的奉獻者。,"I'm very happy that this city has a dedicated person like you, Lord.",この街に城主様のような献身的な方がいてくれて、とても嬉しいです。,이 도시에 영주님과 같은 헌신자가 있어서 매우 기쁩니다.
