plotId,chapter,bgnum,characterList,speaker,content,content_en
1,1,1,0,0,{清晨，阳光透过窗帘洒入卧室，你缓缓睁开眼，一脸迷茫地坐起身。},"Early morning, sunlight filtered through the curtains into the bedroom. You slowly opened your eyes, sitting up with a look of utter confusion."
2,1,1,0,0,{你看着自己陌生的双手，又环顾这间充满异世界色彩的奢华卧室，眼中充满了困惑与警惕。},"You stared at your unfamiliar hands, then looked around the luxurious bedroom filled with otherworldly decor, your eyes filled with bewilderment and wariness."
3,1,1,-1,-1,{这里是.......？我昨晚不是在......？怎么会.......头好痛，像是被硬塞进了很多东西.......},"Where is this.......? Wasn't I just...... last night? How did....... My head hurts so much, as if it's been crammed with many things......."
4,1,1,-1,0,{你挣扎着下床，脚步有些虚浮地走到镜前，镜中映出一张完全陌生的面孔},"You struggled to get out of bed, your steps somewhat unsteady as you walked to the mirror. The reflection showed a completely unfamiliar face."
5,1,1,-1,-1,!!!,
6,1,1,-1,-1,{这不可能！这不是我！这到底是怎么回事？！},This is impossible! This isn't me! What on earth is going on?!
7,1,1,-1,0,{就在这时，轻柔但规律的敲门声响起。未等你回应，房门便被推开。},"Just then, a soft but rhythmic knock sounded at the door. Before you could respond, the door was pushed open."
8,1,1,52,0,{一位长着毛茸茸狐狸耳朵和尾巴的少女抱着一叠文件走了进来，她神色如常，带着一丝例行公事的干练。},"A young girl with furry fox ears and a tail walked in, holding a stack of documents. Her expression was normal, carrying a hint of routine efficiency."
9,1,1,-1_52,52,{城主大人，日安。},"Good morning, Lord."
10,1,1,-1_52,52,{您今天的气色似乎比往常要好些.......嗯？},You seem to be in better spirits today than usual....... Hm?
11,1,1,-1_52,52,{话说到一半，达菲敏锐地停下了脚步。},"Mid-sentence, Duffy sharply halted her steps."
12,1,1,-1_52,0,{她的耳朵警觉地竖起，尾巴也停止了轻摇，眼眸紧紧盯住城主，目光锐利如刀。},"Her ears perked up alertly, her tail stopped its gentle sway, and her eyes locked onto the lord, sharp as blades."
13,1,1,-1_52,0,{眼前这人虽然有着和城主一模一样的外表，但那双眼睛里的茫然和陌生感，与她侍奉多年的那位城主截然不同。},"Although the person before her had the exact same appearance as the lord, the confusion and unfamiliarity in those eyes were completely different from the lord she had served for years."
14,1,1,-1_52,52,{大人，您昨晚休息得可好？关于今日上午的会议，您准备从哪个议题开始？},"My Lord, did you rest well last night? Regarding this morning's meeting, which topic would you like to begin with?"
15,1,1,-1_52,-1,{会、会议？什么会议？你是谁？这又是哪里？},M-meeting? What meeting? Who are you? Where is this place?
16,1,1,-1_52,0,{达菲的眼神瞬间变得冰冷，她缓缓上前，压低声音，语气中带着不容置疑的质问。},"Duffy's eyes instantly turned icy. She slowly stepped forward, lowering her voice, her tone carrying an unquestionable demand."
17,1,1,-1_52,0,{达菲放下了手中的文件，随着一阵魔力元素的波动，一把长枪被召唤了出来},"Duffy placed the documents in her hands on the table. With a ripple of magical energy, a long spear materialized."
18,1,1,-1_52,0,{只是瞬息之间，达菲手中的长枪直直的指向了城主的咽喉},"In the blink of an eye, Duffy pointed her spear straight at the lord's throat."
19,1,1,-1_52,52,{最后一个问题。},One final question.
20,1,1,-1_52,52,{上周，您亲口答应了我什么事？},What did you promise me last week?
21,1,1,-1_52,-1,{我.......我不知道！我什么都不知道！我一醒来就在这里了！},I....... I don't know! I don't know anything! I just woke up here!
22,1,1,-1_52,0,{达菲紧紧盯着他看了几秒，似乎是在判断你话语的真伪。},"Duffy stared intently at him for a few seconds, seemingly judging the truthfulness of his words."
23,1,1,-1_52,0,{最终，她眼中的敌意稍减，但警惕丝毫未消，尾巴依然紧绷着。},"Finally, the hostility in her eyes diminished slightly, but her vigilance remained undiminished, her tail still held taut."
24,1,1,-1_52,52,{.......我明白了。},.......I see.
25,1,1,-1_52,52,{看来，发生了某些超出我们理解的事情。},It appears something beyond our understanding has occurred.
26,1,1,-1_52,52,{听着，不管你是谁，从哪里来，现在，你占据了这座城池最高统治者的身体。},"Listen, whoever you are, wherever you come from, right now, you are occupying the body of this city's supreme ruler."
27,1,1,-1_52,52,{我是达菲，城主府的行政助理，负责协助您的日常工作。},"I am Duffy, the administrative assistant of the lord's manor, responsible for assisting you with your daily duties."
28,1,1,-1_52,-1,{统治者？不，你搞错了！我叫.......},"Ruler? No, you've got it wrong! My name is......."
29,1,1,-1_52,-1,{我来自一个叫蓝星的地方！我只是个普通人！},I'm from a place called Blue Star! I'm just an ordinary person!
30,1,1,-1_52,52,{蓝星？没听过的地名。},Blue Star? An unheard-of place name.
31,1,1,-1_52,52,{但事已至此，纠结缘由无济于事。},But what's done is done. Dwelling on the cause is pointless.
32,1,1,-1_52,52,{重要的是，在真正的城主归来之前，或者说，在弄清楚真相之前，你必须扮演好他的角色。},"What matters is that, until the true lord returns, or until we uncover the truth, you must play his role convincingly."
33,1,1,-1_52,52,{否则，一旦消息走漏，城内外的势力绝不会放过这个机会，这座城会陷入混乱。},"Otherwise, once the news leaks, forces inside and outside the city will not miss this opportunity. This city will fall into chaos."
34,1,1,-1_52,-1,{扮演？我怎么可能扮演得了？我连他是谁都不知道！},Play a role? How could I possibly play it? I don't even know who he is!
35,1,1,-1_52,52,{我会帮你的，但请你也尽量配合我。},"I will help you, but please try to cooperate with me as well."
36,1,1,-1_52,-1,{.......我明白了，我会尽力。},.......I understand. I'll do my best.
37,1,1,-1_52,-1,{但是达菲小姐，原来的城主他.......？},"But Miss Duffy, the original lord.......?"
38,1,1,-1_52,52,{这不是你现在需要关心的事。},That is not something you need to concern yourself with right now.
39,1,1,-1_52,52,{当务之急是应付今天的日程。},The immediate priority is to handle today's schedule.
40,1,1,-1_52,52,{跟我来，我们.......},"Follow me, we......"
41,1,1,-1_52,0,{话还没说完，你眼前一暗，又陷入了昏厥},"Before she could finish her sentence, your vision darkened, and you lost consciousness once more."
42,1,1,-1_52,52,{你怎么了？},What's wrong with you?
