Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
1阶,T1,T1,T1,T1
2阶,T2,T2,T2,T2
3阶,T3,T3,T3,T3
4阶,T4,T4,T4,T4
5阶,T5,T5,T5,T5
6阶,T6,T6,T6,T6
小型,小,S,小,소
中型,中,M,中,중
大型,大,L,大,대
粮食,糧食,Food,食料,식량
木材,木材,Wood,木材,목재
石料,石料,Stone,石材,석재
铁锭,鐵錠,Iron,鉄塊,철괴
步兵,步兵,Infantry,歩兵,보병
弓兵,弓兵,Archer,弓兵,궁병
骑兵,騎兵,Cavalry,騎兵,기병
战车,戰車,Chariot,戦車,전차
红宝石,紅寶石,Gems,红宝石,보석
金币,金幣,Gold Coin,金貨,골드
加速点,加速點,Speedup Points,加速ポイント,가속점
技能经验,技能經驗,Skill Exp,スキル経験,스킬 경험
体力,體力,Vit,体力,체력
冒险者积分,冒險者積分,Adventurer Points,冒険者積分,모험가 포인트
荣誉积分,榮譽積分,Honor Points,名誉積分,명예 포인트
联盟积分,聯盟積分,Union Points,同盟積分,동맹 포인트
友谊积分,友誼積分,Friendship Points,友情積分,우정 포인트
兰德币,蘭德幣,Rand Coin,ランド通貨,랜드 통화 카드
领主经验,領主經驗,Lord Exp,領主経験,영주 경험
英雄经验,英雄經驗,Hero Exp,ヒーロー経験,영웅 경험
冒险者公会的礼物,冒險者公會的禮物,Adventurer Guild's Gift,冒険者ギルド贈り物,모험가 길드의 선물
修炼令牌,修煉令牌,Training Token,修練トークン,수련 토큰
次元之石,次元之石,Dimensional Stone,次元の石,차원석
新人,新人,Newb,新人,신인
红玉,紅玉,Ruby,ルビー,루비
碎片,碎片,Fragment,破片,조각
改名卡,改名卡,Rename Card,改名カード,개명 카드
突破卡,突破卡,Breakthrough Card,突破カード,돌파 카드
英雄卡,英雄卡,Hero Card,ヒーローカード,영웅 카드
星光卡,星光卡,Starlight Card,星の光カード,별빛 카드
技能经验卡,技能經驗卡,Skill Exp Card,スキル経験カード,스킬 경험 카드
万能进阶卡,萬能進階卡,Universal Advanced Card,万能進階カード,만능 진급 카드
万能宝鉴卡,萬能寶鑑卡,Universal Codex Card,万能図鑑カード,만능 보물 카드
技能槽解锁卡,技能槽解鎖卡,Skill Slot Unlock Card,スキルスロット解除カード,스킬 슬롯 잠금 해제 카드
补给箱,補給箱,Supply,補給箱,보급 상자
资源补给箱,資源補給箱,Resource Supply,資源補給箱,자원 보급 상자
宝箱,寶箱,Chest,宝箱,상자
宝箱碎片,寶箱碎片,Chest Fragments,宝箱破片,상자 조각
活跃宝箱,活躍寶箱,Active Chest,活躍宝箱,활발한 상자
白银宝箱,白銀寶箱,Silver Chest,銀の宝箱,은화 상자
铂金宝箱,鉑金寶箱,Platinum Chest,プラチナの宝箱,백금 상자
黄金宝箱,黃金寶箱,Golden Chest,黄金の宝箱,금괴 상자
技能石宝箱,技能石寶箱,Skill Stone Chest,スキルストーン宝箱,스킬 스톤 상자
银质装备宝箱,銀質裝備寶箱,Silver Equipment Chest,银装備宝箱,은색 장비 상자
金质装备宝箱,金質裝備寶箱,Gold Equipment Chest,金装備宝箱,금색 장비 상자
史诗饰品宝箱,史詩飾品寶箱,Epic Accessories Chest,エピック飾品宝箱,서사시   보석 상자
史诗饰品,史詩飾品,Epic Accessories,エピック飾品,서사시 보석
专属装备,專屬裝備,Exclusive Equipment,専用装備,전용 장비
银质装备,銀質裝備,Silver Equipment,金装備,실버 장비
金质装备,金質裝備,Gold Equipment,银装備,금색 장비
装备图纸,裝備圖紙,Equipment Drawings,装備図面,장비 도면
时装图纸,時裝圖紙,Fashion Drawings,コスチューム図面,패션 도면
建筑图纸,建築圖紙,Building Drawings,建築図面,건축 도면
装备材料,裝備材料,Equipment Stuff,装備素材,장비 재료
史诗稀有材料,史詩稀有材料,Epic Rare Stuff,エピック希少素材,서사시 희귀 재료
图纸,圖紙,Drawings,圖紙,그림
头饰图纸,頭飾圖紙,Headwear Drawings,頭飾図面,머리 장식 도면
服饰图纸,服飾圖紙,Clothing Drawings,衣装図面,복장 도면
背饰图纸,背飾圖紙,Back Accessory Drawings,背中装飾図面,뒷장식 도면
图纸进阶手册,圖紙進階手冊,Drawing Advanced Manual,図面進階手冊,도면 진급 매뉴얼
英雄经验书,英雄經驗書,Hero Exp Book,ヒーロー経験書,영웅 경험서
技能经验珠,技能经验珠,Skill Exp Bead,スキル経験珠,스킬 경험치 비즈
觉醒石,覺醒石,Awakening Stone,覚醒石,각성석
觉醒突破石,覺醒突破石,Awakening Breakthrough Stone,覚醒突破石,각성 돌파석
英雄觉醒石,英雄覺醒石,Hero Awakening Stone,ヒーロー覚醒石,영웅 각성석
天赋突破石,天賦突破石,Talent Breakthrough Stone,天賦突破石,재능 돌파석
英雄天赋石,英雄天賦石,Hero Talent Stone,ヒーロー天賦石,영웅 재능석
鲜花,鮮花,Flowers,花,플라워
香水,香水,Perfume,香水,향수
爱心巧克力,愛心巧克力,Love Chocolate,愛のチョコレート,사랑의 초콜릿
誓约之戒,誓約之戒,Oath Ring,誓約の指輪,맹세의 반지
万象宝珠,萬象寶珠,Universal Jewel,万象宝珠,만상 보주
幸运彩蛋,幸運彩蛋,Lucky Egg,ラッキーエッグ,행운의 알
幸运转盘,幸運轉盤,Lucky Wheel,ラッキールーレット,행운의 룰렛
时装扭蛋,時裝扭蛋,Fashion Gacha,コスチュームガチャ,패션 뽑기
糖果,糖果,Candy,糖果,사탕
庆典烟花,慶典煙火,Celebration Fireworks,お祝いの花火,축제 폭죽
庆典徽章,慶典徽章,Celebration Badge,お祝いバッジ,축제 배지
产量增加,產量增加,Output Increase,増産,생산 증가
迁城令,遷城命令,Relocation Order,移転令,이전 명령서
比武大会,比武大會,Tournament,武道大会,무술 대회
国际友人,國際友人,International Friends,国際友人,국제 친구
