Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
千里,千里,Swift,千里,천리
吟诵,吟誦,Chant,吟唱,낭송
治愈之光,治癒之光,Healing Light,癒しの光,치유의 빛
破坏之王,破壞之王,King Destroy,破壊の王,파괴의 왕
毁灭斩击,毀滅斬擊,Destroy Slash,壊滅斬撃,파괴베기
卸甲,卸甲,Disarm,武装解除,무장해제
凛冬,凜冬,Winter,寒中,겨울
极影,極影,Polar Shadow,極影,그림자
福音,福音,Gospel,福音,복음
羽落,羽落,Feather Fall,羽落ち,깃털 낙하
海洋之星,海洋之星,Ocean Star,海洋の星,바다의 별
森林轻语,森林輕語,Forest Whispers,森のささやき,숲의 속삭임
领域,領域,Field,領域,영역
惊雷,驚雷,Clap Thunder,惊雷,천둥
反击,反擊,Counterattack,反撃,역습
赤刃,赤刃,Red Blade,赤刃,붉은 칼날
极寒,極寒,Extremely Cold,極寒,극한
元素禁锢,元素禁錮,Elemental Prison,元素封印,원소 봉인
浊流,濁流,Turbid Current,濁流,탁류
风灵,風靈,Wind Spirit,風霊,실프
风吟,風吟,Wind Song,風の唄,바람 노래
逆境,逆境,Adversity,逆境,역경
钢铁意志,鋼鐵意志,Steel Will,鉄心,스틸 윌
樱落草莓,櫻落草莓,Sakura Strawberry,いちごが散る,앵두 딸기
空之境,空之境,Skyland,空の境,하늘 섬
信仰之力,信仰之力,Power Faith,信仰の力,믿음의 힘
沧海潮生,滄海潮生,Tide Sea,滄海潮生,푸른 바다
书之语,書之語,Magic Book,本の言葉,책의 말
时之物语,時之物語,Time Story,時の物語,시간 이야기
风间日光,風間日光,Nikko In Wind,風間日光,닛코 윈드
自愈术,自愈術,Self-Healing,自己治癒,자가 치유
战地治疗,戰地治療,Field Therapy,戦場療法,전장 치료
骑士圣灵,騎士聖靈,Knight Spirit,騎士聖霊,기사 정신
吉光片羽,吉光片羽,Past Memory,吉光片羽,과거의 기억
星之盾,星之盾,Star Shield,星の盾,별의 방패
虔诚,虔誠,Piety,信仰心,경건
净化之火,淨化之火,Purifying Fire,浄化の火,정화의 불
坚甲,堅甲,Hard Armor,強固な甲冑,단단한 갑옷
愿力,愿力,Force Of Will,願力,희망의 힘
畏惧,畏懼,Fear,恐れ,두려움
靡音,靡音,Noise,靡音,소음
彷徨,徬徨,Hesitate,彷徨,망설이다
破空箭,破空箭,Sky Tear Arrow,突空矢,파공의 화살
幻境迷宫,幻境迷宮,Illusion Maze,幻境迷宮,환상의 미로
奔雷之势,奔雷之勢,Magnificent,雷の勢い,뇌전의 기세
圣钟,聖鐘,Holy Bell,聖鐘,성스러운 종
优势地形,優勢地形,Advantage Terrain,優勢地形,유리한 지형
不动如山,不動如山,Unmoving,動かない,산처럼 굳다
鹰眼,鷹眼,Hawkeye,鷲の目,호크아이
厄运,厄運,Doom,厄運,불운
战鼓,戰鼓,War Drum,戦鼓,전투의 북
封灵碑,封靈碑,Seal Tombstone,封霊碑,펑링 묘비
穿云箭,穿雲箭,Cloud Arrow,雲貫き矢,구름 화살
暗魔法,黑暗魔法,Dark Magic,闇魔法,어둠의 마법
围猎,圍獵,Encircle Hunt,圍猟,난조의
神国,神國,Shinkoku,神国,신의 왕국
驻守阵地,駐守陣地,Stationed,守備陣地,수비대 위치
天使庇佑,天使庇佑,Angel Blesse,天使の加護,엔젤 블레스
永恒时钟,永恆時鐘,Eternal Clock,永遠の時計,영원시계
暗夜降临,黑夜降臨,Dark Arrive,闇夜の降臨,어둠의 도착
生死斗,生死鬥,Life And Death,生死戦,사생결단
暗潮,暗潮,Undercurrent,闇潮,암조
无界,無界,Unbounded,無界,무제한
浓烟窒息,濃煙窒息,Smoke Smother,濃煙窒息,연기질식
无畏反击,無畏反擊,Brave Killing,無畏反擊,용감한 반격
精灵鹿,精靈鹿,Elf Deer,精霊鹿,엘프 사슴
雨夜,雨夜,Rainy Night,雨夜,비오는 밤
星野,星野,Star Field,星野,별판
星象魔术,星象魔術,Star Magic,星象魔術,점성술 마술
神佑之盾,神佑之盾,Blessed Shield,神佑の盾,축복의 방패
重装骑士,重裝騎士,Heavy Knight,重装騎士,헤비 나이트
厄运印刻,厄運印刻,Imprint Doom,厄の刻印,운명의 각인
心语,心語,Heart Language,心の言語,마음의 언어
心网,心網,Heart Net,ハートネット,마인드웹
狐幻,狐幻,Fox Illusion,狐の幻,여우 환상
神煞,神煞,Evil Spirit,神魔,신과 악마
灰黑世界,灰黑世界,Gray World,灰黒世界,암흑천지
法力蓄积,法力蓄積,Mana Storage,魔力蓄積,마법 축적
鼓舞士气,鼓舞士氣,Boost Morale,士気の鼓舞,사기 진작
全军出击,全軍出擊,Army Attack,全軍出撃,전군 출격
暗夜闪现,暗夜閃現,Flash Night,闇夜瞬移,어둠 빛
潜伏,潛伏,Lurking,潜伏,잠복
白色旋律,白色旋律,White Melody,白い旋律,하얀 선율
十字斧,十字斧,Cross Axe,十字の斧,십자 도끼
震慑,震懾,Frighten,脅迫,공포
贪婪之力,貪婪之力,Power Greed,貪欲の力,권력 탐욕
岩之火,巖之火,Rock Fire,岩の火,바위 불
恶魔果实,惡魔果實,Devil Fruit,悪魔の実,악마의 열매
万蛇怒,萬蛇怒,Wrath Serpent,万蛇の怒り,뱀의 분노
