Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
服务器正在维护,伺服器正在維護,Server Is Under Maintenance,サーバーはメンテナンス中です,서버 점검 중
预计完成时间,預計完成時間,Estimated Completion Time,推定終了時間,예상 완료 시간
服务器未开放,伺服器未開放,Server Is Not Open,サーバーが開いていません,서버가 열려 있지 않습니다
开放时间,開放時間,Opening Hours,営業時間,개관 시간
请先设置,請先設置,Please Set First,設定してください,설정해주세요
亲爱的各位玩家，为了给您带来更好的游戏体验，我们将于,親愛的各位玩家，為了給您帶來更好的遊戲體驗，我們將於,"Dear Players, In Order To Bring You A Better Gaming Experience",プレイヤーの皆様、より良いゲーム体験をお届けするために,"플레이어 여러분, 더 나은 게임 경험을 제공하기 위해"
对服务器进行停机维护,對服務器進行停機維護,Downtime For Server Maintenance,サーバーメンテナンスのためのダウンタイム,서버 유지 보수를 위한 다운타임
您已被管理员踢下线,您已被管理員踢下線,You Have Been Kicked Offline By Administrator,管理者によって強制的にオフラインにされました,관리자에 의해 강제로 오프라인 상태가 되었습니다.
您的账号在其他地方登录,您的賬號在其他地方登錄,Your Account Is Logged In Elsewhere,あなたのアカウントは別の場所でログインしています,계정이 다른 곳에 로그인되어 있습니다.
由于您的IP存在异常,由於您的IP存在異常,Your IP Address Is Abnormal,IPが異常,IP가 비정상입니다
系统拒绝了您的登录请求,系統拒絕了您的登錄請求,The System Denied Your Login Request,ログイン要求が拒否されました,귀하의 로그인 요청이 거부되었습니다
系统检测到您正在使用非法加速工具，请立即停止使用,系統檢測到您正在使用非法加速工具，請立即停止使用,The System Detects That You Are Using An Illegal Acceleration Tool. Please Stop Using It Immediately,違法な高速化ツールを使用していることをシステムが検出しました。すぐに使用を中止してください,시스템에서 불법 가속 도구를 사용하고 있음을 감지했습니다. 즉시 사용을 중지하십시오.
否则账号将被永久封禁,否則賬號將被永久封禁,"Otherwise, The Account Will Be Permanently Banned",そうしないと、アカウントは永久に禁止されます,그렇지 않으면 계정이 영구적으로 금지됩니다.
"数据异常,无法使用","數據異常,無法使用",Data Is Abnormal And Cannot Be Used,データが異常で使えない,데이터가 비정상적이며 사용할 수 없습니다.
该账号由于违反用户守则,該賬號由於違反用戶守則,This Account Is Due To Violation Of User Rules,このアカウントはユーザーポリシー違反のためです,이 계정은 사용자 정책을 위반했습니다.
账号被永久封禁,賬號被永久封禁,The Account Was Permanently Banned,アカウント永久禁止,영구적으로 금지된 계정
