Simplified_Text,Traditional_Text,English_Text,Japanese_Text,Korean_Text
桂树,桂樹,Osmanthus,桂の木,계수나무
椴树,椴樹,Tilia,椴の木,참피나무
椰树,椰樹,Coconut,ヤシの木,야자나무
松树,松樹,Pine,松の木,소나무
银杏树,銀杏樹,Ginkgo,イチョウの木,은행나무
枫树,楓樹,Maple,カエデの木,단풍나무
杉树,杉樹,Cedar,杉の木,삼나무
梧桐,梧桐,Sycamore,梧桐の木,오동나무
樱花树,櫻花樹,Sakura,桜の木,벚나무
香樟树,香樟樹,Camphora,クスノキ,녹나무
绿萝,綠蘿,Epipremnum,ポトス,포토스
婆婆纳,婆婆納,Veronica Plant,ベロニカ,베로니카
薰衣草,薰衣草,Lavand,ラベンダー,라벤더
珊瑚豆,珊瑚豆,Coralberry,コーラルベリー,코랄베리
旋花,旋花,Bindweed,ヒルガオ,메꽃 무리
铁线莲,鐵綫蓮,Clematis,クレマチス,클레마티스
风铃草,風鈴草,Bellflower,ベルフラワー,벨플라워
郁金香,郁金香,Tulip,チューリップ,튤립
牵牛花,牽牛花,Morning Glory,アサガオ,나팔꽃
常春藤,常春藤,Ivy,アイビー,아이비
哑光砖,啞光磚,Matte Tile,マットタイル,매트 타일
釉面砖,釉面磗,Glazed Tile,釉薬タイル,유약 타일
涂金砖,凃金磗,Gold-Plated Tile,金張りタイル,금도금 타일
鹅卵石砖,鵝卵石磗,Cobblestone Tile,小石タイル,조약돌 타일
四宫格砖,四宮格磗,Four-Square Tile,四角タイル,사각 타일
水泥砖,水泥磚,Cement Tile,セメントタイル,시멘트 타일
石纹砖,石紋磗,Stone Pattern Tile,石目タイル,돌纹 타일
碎板砖,碎板磚,Broken Plank Tile,砕板タイル,깨진 판자 타일
花岗岩砖,花崗岩磗,Granite Tile,花崗岩タイル,화강암 타일
简约路灯,簡約路燈,Simple Streetlight,シンプル街灯,심플 가로등
欧式路灯,歐式路燈,European Streetlight,ヨーロッパ風街灯,유럽풍 가로등
草坪路灯,草坪路燈,Lawn Streetlight,芝生用街灯,잔디용 가로등
巴洛克路灯,巴洛克路燈,Baroque Streetlight,バロック街灯,바로크 가로등
哥特式路灯,哥特式路燈,Gothic Streetlight,ゴシック街灯,고딕 가로등
洛可可路灯,洛可可路燈,Rococo Streetlight,ロココ街灯,로코코 가로등
圆柱,圓柱,Cylindrical Column,円柱,원기둥
棱柱,棱柱,Prismatic Column,角柱,각기둥
镶金柱,鑲金柱,Gold-Inlaid Column,金装飾柱,금장 기둥
浮雕柱,浮雕柱,Relief Column,浮彫柱,부조 기둥
螺旋柱,螺旋柱,Spiral Column,螺旋柱,나선형 기둥
海豚喷泉,海豚噴泉,Dolphin Fountain,イルカの噴水,돌고래 분수
灯光喷泉,燈光噴泉,Illuminated Fountain,ライト付き噴水,조명 분수
音乐喷泉,音樂噴泉,Musical Fountain,音楽噴水,음악 분수
莲花喷泉,蓮花噴泉,Lotus Fountain,蓮の噴水,연꽃 분수
分层喷泉,分層噴泉,Layered Fountain,層状噴水,다층 분수
石狮像,石獅像,Lion Statue,石の獅子像,석사자상
飞马像,飛馬像,Pegasus Statue,ペガサス像,페가수스상
圣女像,聖女像,Saintess Statue,聖女像,성녀상
勇士像,勇士像,Warrior Statue,勇士像,용사상
雪人,雪人,Snowman,雪だるま,눈사람
雪人瑞兽,雪人瑞獸,Snowman Beast,雪だるま瑞獣,눈사람 짐승
庆典树群,慶典樹群,Festival Trees,祝祭樹群,축제 나무 군
鲜花拱门,鮮花拱門,Flower Arch,花のアーチ,꽃 아치
花藤拱门,花藤拱門,Vine Arch,蔦のアーチ,덩굴 아치
木栅栏,木柵欄,Wooden Fence,木柵,나무 울타리
木墩,木墩,Tree Stump,切り株,그루터기
圆形餐桌,圓形餐桌,Round Dining Table,円形食卓,원형 식탁
圆型茶几,圓型茶几,Round Coffee Table,円形テーブル,원형 테이블
长条餐桌,長條餐桌,Long Dining Table,長方形食卓,긴 식탁
帐篷,帳篷,Tent,テント,텐트
黑板,黑板,Blackboard,黒板,칠판
桌椅,桌椅,Chairs and Tables,机と椅子,의자와 테이블
云朵沙发,雲朵沙發,Cloud Sofa,雲ソファ,구름 소파
庆典,慶典,Festival,祝祭,축제
庆典气球,慶典氣球,Festival Balloon,祝祭風船,축제 풍선
庆典帐篷,慶典帳篷,Festival Tent,祝祭テント,축제 텐트
庆典黑板,慶典黑板,Festival Blackboard,祝祭黒板,축제 칠판
路灯、柱子,路燈、柱子,"Street Light, Pillar",街灯、柱,"가로등, 기둥"
门、栏杆,門、欄杆,"Gate, Railing",門、手すり,"문, 난간"
庆典彩砖,慶典彩磚,Festival Tile,祝祭カラータイル,축제 컬러 타일
圣诞树,聖誕樹,Christmas Tree,クリスマスツリー,크리스마스 트리
浅木砖,淺木磚,Light Wood Tile,ライトウッドタイル,라이트 우드 타일
长纹木砖,長紋木磚,Long Grain Tile,木目長タイル,긴 나무결 타일
仿古砖,仿古磚,Antique Tile,アンティークタイル,앤티크 타일
人字木砖,人字木磚,Herringbone Tile,ヘリンボーン木タイル,헤링본 우드 타일
红地砖,紅地磚,Red Floor Tile,赤フロアタイル,레드 플로어 타일
拼花石砖,拼花石磚,Patterned Tile,模様石タイル,패턴 스톤 타일
旋转木马,旋轉木馬,Carousel,メリーゴーラウンド,회전목마
面包地砖,麵包地磚,Bread Tile,パンタイル,빵 타일
砧板地砖,砧板地磚,Cutting Board Tile,まな板タイル,도마 타일
饼干地砖,餅乾地磚,Biscuit Tile,ビスケットタイル,비스킷 타일
纸板地砖,紙板地磚,Cardboard Tile,段ボールタイル,판지 타일
大理石地砖,大理石地磚,Marble Tile,大理石タイル,대리석 타일
莱姆石地砖,萊姆石地磚,Limestone Tile,石灰岩タイル,석회석 타일
青苔地砖,青苔地磚,Moss Tile,苔タイル,이끼 타일
鹅卵石地砖,鵝卵石地磚,Cobblestone Tile,玉石タイル,자갈 타일
星纹地砖,星紋地磚,Star Pattern Tile,星柄タイル,별무늬 타일
青草地砖,青草地磚,Grass Tile,草原タイル,잔디 타일
裂纹地砖,裂紋地磚,Cracked Tile,ひび割れタイル,균열 타일
星芒纹花砖,星芒紋花磚,Starburst Pattern Tile,光芒柄タイル,별빛무늬 타일
菱格十字花砖,菱格十字花磚,Diamond Cross Tile,菱十字タイル,마름모 십자 타일
几何花砖,幾何花磚,Geometric Pattern Tile,幾何学模様タイル,기하학 문양 타일
四叶纹花砖,四葉紋花磚,Shamrock Pattern Tile,四つ葉模様タイル,네잎클로버 타일
层叠地砖,層疊地磚,Layered Tile,重層タイル,층층이 타일
栅格地砖,柵格地磚,Grid Tile,グリッドタイル,격자 타일
圆点地砖,圓點地磚,Polka Dot Tile,水玉タイル,물방울 타일
十字格地砖,十字格地磚,Cross Grid Tile,十字格子タイル,십자 격자 타일
红马赛克地砖,紅馬賽克地磚,Red Mosaic Tile,赤モザイクタイル,빨간 모자이크 타일
黄马赛克地砖,黃馬賽克地磚,Yellow Mosaic Tile,黄モザイクタイル,노란 모자이크 타일
蓝马赛克地砖,藍馬賽克地磚,Blue Mosaic Tile,青モザイクタイル,파란 모자이크 타일
绿马赛克地砖,綠馬賽克地磚,Green Mosaic Tile,緑モザイクタイル,초록 모자이크 타일
红毛毯地砖,紅毛毯地磚,Red Carpet Tile,赤カーペットタイル,빨간 카펫 타일
黄毛毯地砖,黃毛毯地磚,Yellow Carpet Tile,黄カーペットタイル,노란 카펫 타일
蓝毛毯地砖,藍毛毯地磚,Blue Carpet Tile,青カーペットタイル,파란 카펫 타일
绿毛毯地砖,綠毛毯地磚,Green Carpet Tile,緑カーペットタイル,초록 카펫 타일
中式地灯,中式地燈,Chinese Lamp,中華風フロアランプ,중식 스탠드
企鹅玩偶,企鵝玩偶,Penguin Doll,ペンギンヌイードル,펭귄 인형
小狗玩偶,小狗玩偶,Puppet Doll,子犬のぬいぐるみ,강아지 인형
小熊玩偶,小熊玩偶,Bear Doll,クマのぬいぐるみ,곰 인형
兔子玩偶,兔子玩偶,Rabbit Doll,うさぎのぬいぐるみ,토끼 인형
白冰淇淋,白冰淇淋,White Ice Cream,ホワイトアイスクリーム,흰색 아이스크림
紫冰淇淋,紫冰淇淋,Purple Ice Cream,パープルアイスクリーム,보라색 아이스크림
粉冰激淋,粉冰淇淋,Pink Ice Cream,ピンクアイスクリーム,분홍색 아이스크림
兔子宝箱,兔子寶箱,Rabbit Box,うさぎの宝箱,토끼 보물상자
招财小猫,招財小貓,Lucky Cat,招き猫,행운의 고양이
圣诞礼物,聖誕禮物,Christmas Gift,クリスマスプレゼント,크리스마스 선물
独角兽雕像,獨角獸雕像,Unicorn Statue,ユニコーン像,유니콘 조각상
大象雕像,大象雕像,Elephant Statue,ゾウ像,코끼리 조각상
天使雕像,天使雕像,Angel Statue,天使像,천사 조각상
武士雕像,武士雕像,Samurai Statue,侍像,사무라이 조각상
猫猫雕像,貓貓雕像,Cat Statue,猫像,고양이 조각상
猫猫喷泉,貓貓噴泉,Cat Fountain,猫の噴水,고양이 분수
泳池,泳池,Swimming Pool,プール,수영장
圣诞水晶球,聖誕水晶球,Christmas Snow Globe,クリスタルボール,크리스마스 스노우볼
女神像,女神像,Goddess Statue,女神像,여신상
圣水盆,聖水盆,Holy Water Basin,聖水盤,성수반
部落图腾,部落圖騰,Totem Pole,トーテムポール,부족 토템
中式假山,中式假山,Chinese Rockery,中華風庭石,중식 정원석
荷塘地砖,荷塘地磚,Lotus Tile,蓮の花タイル,연꽃 타일
大天使雕像,大天使雕像,Archangel Statue,大天使像,대천사 조각상
草丛,草叢,Bush,草むら,덤불
冬日草丛,冬日草叢,Winter Bush,冬の茂み,겨울 덤불
围栏草丛,圍籬草叢,Fence Bush,フェンスの茂み,울타리 덤불
栅栏草丛,柵欄草叢,Fence Bush,柵の茂み,울타리 덤불
花丛,花叢,Flower Cluster,花叢,꽃밭
鲜花棕栅栏,花棕色柵欄,Flower Brown Fence,花の茶色柵,꽃 갈색 울타리
藤曼白栅栏,藤曼白柵欄,Vine White Fence,ツタの白柵,덩굴 흰색 울타리
鲜花白栅栏,花白柵欄,Flower White Fence,花の白柵,꽃 흰색 울타리
藤曼棕栅栏,藤曼棕色柵欄,Vine Brown Fence,ツタの茶色柵,덩굴 갈색 울타리
藤曼围墙,藤曼圍牆,Vine Wall,ツタの壁,덩굴 담장
蓝围墙,藍色圍牆,Blue Wall,青い壁,파란 담장
白棕栅栏,白棕柵欄,White Brown Fence,白茶柵,흰갈색 울타리
白栅栏,白柵欄,White Fence,白柵,흰색 울타리
棕栅栏,棕色柵欄,Brown Fence,茶色柵,갈색 울타리
红围墙,紅色圍牆,Red Wall,赤い壁,빨간 담장
花丛围墙,花叢圍牆,Flower Cluster Wall,花叢の壁,꽃밭 담장
翠竹,翠竹,Jade Bamboo,翠竹,청죽
富贵竹,富貴竹,Lucky Bamboo,幸福の竹,행운의 대나무
黄花树,黃花樹,Yellow Blossom Tree,黄花の木,황화나무
雅菊,雅菊,Elegant Chrysanthemum,雅やかな菊,우아한 국화
蔷薇花,薔薇花,Rose,薔薇,장미
绣球花,繡球花,Hydrangea,紫陽花,수국
白花花坛,白花花壇,White Flower Bed,白い花壇,하얀 화단
玫瑰花坛,玫瑰花壇,Rose Bed,薔薇の花壇,장미 화단
天鹅池,天鵝池,Swan Pond,白鳥の池,백조 연못
玫瑰笼,玫瑰籠,Rose Trellis,薔薇のトレリス,장미 격자
红石桌,紅石桌,Red Stone Table,赤い石のテーブル,빨간 돌 테이블
黄石桌,黃石桌,Yellow Stone Table,黄色い石のテーブル,노란 돌 테이블
